party,press_release,claim_number,claim_text,claim_desc,category,is_policy_like
Democratic,20171115-gipson-champions-environmental-projects-64th-district.txt,2,The Urban Greening Program focuses on projects that reduce greenhouse gases.,,,
Democratic,20171115-gipson-champions-environmental-projects-64th-district.txt,3,The Urban Greening Program is aimed at decreasing energy consumption.,,,
Democratic,20171115-gipson-champions-environmental-projects-64th-district.txt,4,The Urban Greening Program provides other environmental benefits.,,,
Democratic,20171115-gipson-champions-environmental-projects-64th-district.txt,5,The projects approved will create job opportunities.,,,
Democratic,20171115-gipson-champions-environmental-projects-64th-district.txt,6,The approved projects will take place in areas where constituents feel left behind.,,,
Democratic,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,1,"High-interest rates on loans above $2,500 are deemed 'unconscionable' by the California Supreme Court.",,,
Democratic,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,2,"The ruling in De La Torre v. CashCall found that interest rates on consumer loans of $2,500 or more can render the loans unconscionable and void.",,,
Democratic,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,3,"The California Legislature failed to pass AB 2500, which aimed to extend the interest rate cap for loans up to $5,000.",,,
Democratic,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,4,Predatory lenders deliberately target Latino and African American borrowers by establishing stores in minority and low-income communities.,,,
Democratic,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,5,"According to a 2016 report by the California Department of Business Oversight (DBO), 58% of installment loans of $2,500 to $5,000 had APRs of 100% or higher.",,,
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,1,California experienced the most devastating wildfire in state history in October 2017.,,,
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,2,44 Californian lives were claimed due to the October 2017 wildfires.,,,
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,3,"Over 14,700 homes and 728 businesses were damaged or destroyed during the October 2017 wildfires.",,,
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,4,The total damage from the October 2017 wildfires exceeded $12 billion.,,,
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,5,Wildfires of significant magnitude pollute the air and negate gains made in reducing California’s carbon footprint.,,,
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,6,AB 1772 extends the time homeowners have to rebuild insured properties from 2 to 3 years after a declared wildfire emergency.,,,
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,7,Extending the time for consumers to recoup their losses after a fire will minimize stressful battles with insurance companies.,,,
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,8,AB 2380 requires the state to develop standards and regulations for privately contracted fire personnel during active fire emergencies.,,,
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,9,The presence of privately contracted fire personnel in evacuated zones risks their safety and could require public personnel to rescue them.,,,
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,10,The increase of wildfires has put more members of the public at risk than ever before.,,,
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,11,AB 2518 requires the Department of Forestry and Fire Protection to explore markets for innovative forest products and mass timber.,,,
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,12,Overly dense forests are a major contributor to the state’s wildfires.,,,
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,13,Finding uses for wood from overly dense forests will promote environmentally safe and clean uses for forest waste.,,,
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,14,Incentivizing private investment in forest health is necessary to protect natural resources and public health and safety.,,,
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,15,Californians are at unprecedented risk of wildfire disaster due to the current state of the forests.,,,
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,16,The existing wood products market must be expanded to include innovative timber products that utilize small diameter trees.,,,
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,1,AB 324 will provide expanded childcare workforce development grants to new providers.,,,
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,2,The bill aims to increase the state's capacity to administer a higher level of care to an increased number of children.,,,
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,3,"Training and retaining qualified, committed professionals is critical to children's future.",,,
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,4,"AB 324 requires the California Department of Education to develop guidelines for a standardized, effective, and organized professional development and retention system for childcare professionals.",,,
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,5,The guidelines expand eligibility in the program and link stipends to a teacher’s higher education attainment plan.,,,
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,6,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.",,,
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,7,Supporting the childcare workforce is expected to help prevent the achievement gap.,,,
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,8,Investing in the childcare workforce is anticipated to lead to more jobs and better outcomes for youth.,,,
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,9,"The legislation aims to provide new support for parents, which may contribute to stronger families.",,,
Democratic,20190212-assemblymember-ramos-response-governor-newsom-state-state-address.txt,1,Governor Newsom's plan to tackle the homelessness crisis includes funding devoted to housing and supportive services such as mental health and addiction.,,,
Democratic,20190212-assemblymember-ramos-response-governor-newsom-state-state-address.txt,2,Governor Newsom's request for more transparency in school systems aims to prevent social bullying and aid homeless youth.,,,
Democratic,20190212-assemblymember-ramos-response-governor-newsom-state-state-address.txt,3,Budgetary funding to incentivize housing construction will benefit workers and families looking for affordable housing.,,,
Democratic,20190212-assemblymember-ramos-response-governor-newsom-state-state-address.txt,4,Governor Newsom's dedication to boost apprenticeships and training is intended to foster a skilled workforce for the evolving economy.,,,
Democratic,20190212-assemblymember-ramos-response-governor-newsom-state-state-address.txt,5,Governor Newsom's plan to expand the California Earned Income Tax Credit will put money back into the wallets of working people and stimulate the economy.,,,
Democratic,20190222-assemblymember-rebecca-bauer-kahan-announces-her-2019-legislative-package.txt,1,Micro-irrigation decreases water usage on farms by up to 60%.,,,
Democratic,20190222-assemblymember-rebecca-bauer-kahan-announces-her-2019-legislative-package.txt,2,Micro-irrigation increases crop yields by 90%.,,,
Democratic,20190222-assemblymember-rebecca-bauer-kahan-announces-her-2019-legislative-package.txt,3,Micro-irrigation significantly reduces water consumption in the state.,,,
Democratic,20190222-assemblymember-rebecca-bauer-kahan-announces-her-2019-legislative-package.txt,4,Micro-irrigation reduces pesticides water-run off that contaminates state drinking water.,,,
Democratic,20190222-assemblymember-rebecca-bauer-kahan-announces-her-2019-legislative-package.txt,5,California's goal is to rely on 100% clean energy sources by 2045.,,,
Democratic,20190425-assemblywoman-blanca-e-rubio-landmark-legislation-increase-access-high.txt,1,Only 9% of California’s low-income infants and toddlers who are income-eligible for subsidized child care are enrolled.,,,
Democratic,20190425-assemblywoman-blanca-e-rubio-landmark-legislation-increase-access-high.txt,2,Fewer families have access to quality early learning programs with comprehensive support services that research shows has the greatest positive impact on low-income babies.,,,
Democratic,20190425-assemblywoman-blanca-e-rubio-landmark-legislation-increase-access-high.txt,3,"The first three years are critical to a child's development, providing the platform for future health and well-being.",,,
Democratic,20190425-assemblywoman-blanca-e-rubio-landmark-legislation-increase-access-high.txt,4,High-quality early learning programs and support are needed before kindergarten or preschool to benefit children.,,,
Democratic,20190425-assemblywoman-blanca-e-rubio-landmark-legislation-increase-access-high.txt,5,"Strengthening and expanding child care programs based on the effective, high-quality Early Head Start model can give more children a better start in life.",,,
Democratic,20190425-assemblywoman-blanca-e-rubio-landmark-legislation-increase-access-high.txt,6,AB 167 aims to improve quality standards for child care programs based on the proven Early Head Start model.,,,
Democratic,20190425-assemblywoman-blanca-e-rubio-landmark-legislation-increase-access-high.txt,7,"AB 167 seeks to expand access to high-quality, full-day, full-year child care for infants and toddlers in high-need communities.",,,
Democratic,20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt,1,AB 275 will require state agencies with 30 or more employees to designate one or more liaisons to engage with Native American tribes.,,,
Democratic,20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt,2,"AB 275 updates current law regarding the possession of California Native American human remains and funerary objects for repatriation, requiring agencies and museums to consider 'tribal traditional knowledge' with comparable or greater weight than nontribal sources of information.",,,
Democratic,20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt,3,"The California Native American Heritage Commission (NAHC) was created in 1976 to identify, catalog, and protect Native American cultural resources.",,,
Democratic,20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt,4,"The NAHC's current Five-Year Strategic Plan identified several areas for improvement, which AB 275 seeks to address.",,,
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,1,AB 1128 will help more seniors remain in their homes and in communities by streamlining the licensing for PACE facilities.,,,
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,2,"AB 1128 will facilitate statewide growth of PACE programs, enabling more seniors to access these services and age in place.",,,
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,3,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,,,
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,4,"PACE is a well-respected, efficient program that aims to keep seniors in their homes and communities rather than institutions.",,,
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,5,AB 1128 will benefit thousands of elderly Californians by accelerating and streamlining the growth of PACE programs.,,,
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,6,PACE is a proven model of providing care to frail elderly individuals that allows them to live in the community.,,,
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,7,PACE programs coordinate and deliver preventative and long-term care services to elderly individuals who would otherwise be in nursing homes.,,,
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,8,"PACE is the only provider-based model of care where a single entity is entirely responsible for the delivery, outcomes, and cost of care.",,,
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,9,Eligible beneficiaries of PACE must be 55 years or older and state certified to qualify for nursing home care.,,,
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,10,Program recipients of PACE receive all of their services through a one-stop-shop PACE center while still residing in their community.,,,
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,11,"There are currently 12 PACE programs providing essential care to 8,000 seniors operating in 42 sites across California.",,,
Democratic,20190813-advisory-assemblywoman-petrie-norris-convening-oversight-hearings-focus.txt,1,California consumers are served best when professional licensing laws balance regulatory efficiency with public protection.,,,
Democratic,20190813-advisory-assemblywoman-petrie-norris-convening-oversight-hearings-focus.txt,2,The Accountability Committee plans to focus future hearings on issues identified in correspondence with constituents.,,,
Democratic,20190813-advisory-assemblywoman-petrie-norris-convening-oversight-hearings-focus.txt,3,"The oversight hearings are a critical opportunity for the Committee to study the implementation, operation, and effectiveness of state programs and agencies.",,,
Democratic,20190813-advisory-assemblywoman-petrie-norris-convening-oversight-hearings-focus.txt,4,"The state’s accounting, budget, cash management, and procurement information technology system is referred to as FI$Cal.",,,
Democratic,20190904-ramos-early-suicide-prevention-bill-clears-senate.txt,1,AB 1767 will expand school district suicide prevention policies to be age appropriate for kindergarten and grades 1 to 6.,,,
Democratic,20190904-ramos-early-suicide-prevention-bill-clears-senate.txt,2,"The policy will be developed by school and community stakeholders, school-employed mental health professionals, and suicide prevention experts.",,,
Democratic,20190904-ramos-early-suicide-prevention-bill-clears-senate.txt,3,The 40th Assembly District has experienced occurrences of suicide among its young residents.,,,
Democratic,20190904-ramos-early-suicide-prevention-bill-clears-senate.txt,4,"At the beginning of the 2018 school year, 4 students died by suicide in the first two weeks of the school.",,,
Democratic,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,1,"Assembly Bill 467 requires equal prize compensation for all athletes, regardless of gender, as a condition for approving a lease or permit request for any sporting event held on state lands.",,,
Democratic,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,2,Equal pay disparities exist in almost every major sport.,,,
Democratic,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,3,The passing of AB 467 is a societal shift toward equity and progress.,,,
Democratic,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,4,The implementation of AB 467 is projected to set precedence for women everywhere.,,,
Democratic,20190910-press-release-assemblywoman-quirk-silvaas-work-resolve-homelessness-orange.txt,1,California has the highest rate of homelessness in the nation.,,,
Democratic,20190910-press-release-assemblywoman-quirk-silvaas-work-resolve-homelessness-orange.txt,2,"Since 2017, homelessness is up by forty-two percent in Orange County.",,,
Democratic,20190910-press-release-assemblywoman-quirk-silvaas-work-resolve-homelessness-orange.txt,3,An array of innovative strategies is needed to resolve the homelessness crisis.,,,
Democratic,20190910-press-release-assemblywoman-quirk-silvaas-work-resolve-homelessness-orange.txt,4,The California Department of Housing and Community Development is responsible for reviewing and approving ordinances developed by counties or cities.,,,
Democratic,20190910-press-release-assemblywoman-quirk-silvaas-work-resolve-homelessness-orange.txt,5,AB 143 would create flexibility to expedite the creation of shelters and permanent supportive housing.,,,
Democratic,20190910-press-release-assemblywoman-quirk-silvaas-work-resolve-homelessness-orange.txt,6,AB 143 expands emergency housing to include homeless shelters and permanent supportive housing.,,,
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,1,Assembly Bill 690 will increase access to pharmacy care in vulnerable and rural areas of California by authorizing the use of telepharmacy.,,,
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,2,Telepharmacy is a proven model to provide enhanced care that is both safe and effective.,,,
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,3,The use of telepharmacy technology was legalized in California for the first time by Assemblymember Aguiar-Curry's AB 401 in 2017.,,,
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,4,The Board of Pharmacy had been unable to implement the telepharmacy law passed in 2017.,,,
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,5,Telepharmacy still has not been used in California despite the law passed two years ago.,,,
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,6,AB 690 codifies the qualifications required for pharmacy technicians to work in remote dispensing pharmacies.,,,
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,7,The telepharmacy law will provide access to better patient education.,,,
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,8,The telepharmacy law will make it easier for patients to follow schedules for their medications.,,,
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,9,The telepharmacy law will result in better health outcomes for Californians.,,,
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,10,AB 690 streamlines the process for pharmacies that are destroyed or damaged in natural disasters to relocate and reopen.,,,
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,11,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,,,
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,12,AB 690 allows impacted pharmacies to quickly relocate and reopen following an emergency.,,,
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,13,Continuity in pharmacy care is critical for patients following a disaster.,,,
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,1,AB 2002 would mandate state contracts involving tropical forest-risk commodities to only go to companies with responsible practices.,,,
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,2,The world’s rainforests are in crisis.,,,
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,3,Tropical forests cover roughly seven percent of the Earth’s surface but harbor close to half of all species on Earth.,,,
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,4,"An estimated 18 million acres of forest are lost every year, largely due to the expansion of agribusiness plantations.",,,
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,5,Tropical deforestation and related land-use changes are responsible for nearly a quarter of global carbon dioxide emissions.,,,
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,6,Tropical forests are essential for stabilizing the global climate.,,,
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,7,The rapid loss of tropical forests is a crisis of epic proportions.,,,
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,1,The sea level has already risen eight inches along the San Francisco coast over the last century.,,,
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,2,Sea level is expected to climb another 1 to 3.4 feet by 2100.,,,
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,3,Sea level rise is one of the most serious consequences of climate change.,,,
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,4,San Mateo County has more people and property value at risk from rising sea levels than any other county in California.,,,
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,5,San Mateo County has created the first county-level agency in California to address sea level rise.,,,
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,6,Local jurisdictions would benefit from working together on a regional basis to address the interrelated impacts of sea level rise.,,,
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,7,"The recent LAO report on sea level rise calls for state actions to support, fund, and accelerate local, collaborative efforts.",,,
Democratic,20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt,1,The Integrated School-Based Behavioral Health Partnership Program encourages local educational agencies and county behavioral health agencies to collaborate on providing mental and behavioral health services on school campuses.,,,
Democratic,20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt,2,Assembly Bill 2265 authorizes counties to treat patients with mental health issues and co-occurring substance use disorders statewide under the Mental Health Services Act.,,,
Democratic,20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt,3,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.",,,
Democratic,20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt,1,The illegal cannabis market accounts for as much as 80% of cannabis sales.,,,
Democratic,20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt,2,The underground cannabis market presents public safety and health threats.,,,
Democratic,20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt,3,Cannabis products sold in the illegal market do not meet established standards.,,,
Democratic,20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt,4,Cannabis products sold illegally evade state testing and put people at risk.,,,
Democratic,20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt,5,Civil penalties for aiding unlicensed cannabis activity will encourage operators to join the legal market.,,,
Democratic,20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt,6,The illicit cannabis market contributes to dwindling tax revenues in California.,,,
Democratic,20200924-assemblymember-rivas-senator-wiener-and-assemblymember-limon-announce-they.txt,1,Fracking is one of the most toxic and environmentally damaging forms of fossil fuel extraction.,,,
Democratic,20200924-assemblymember-rivas-senator-wiener-and-assemblymember-limon-announce-they.txt,2,"Fracking pollutes water sources and air, and can even cause earthquakes.",,,
Democratic,20200924-assemblymember-rivas-senator-wiener-and-assemblymember-limon-announce-they.txt,3,Burning fossil fuel is at the heart of the problem of carbon emissions.,,,
Democratic,20200924-assemblymember-rivas-senator-wiener-and-assemblymember-limon-announce-they.txt,4,California is one of the largest oil producers.,,,
Democratic,20200924-assemblymember-rivas-senator-wiener-and-assemblymember-limon-announce-they.txt,5,Fracking can have serious environmental and community health consequences.,,,
Democratic,20200924-assemblymember-rivas-senator-wiener-and-assemblymember-limon-announce-they.txt,6,"Fracking impacts water supply, air quality, and seismic activity.",,,
Democratic,20200924-assemblymember-rivas-senator-wiener-and-assemblymember-limon-announce-they.txt,7,"Many California communities rely on scant water resources, which are becoming scarcer due to climate change.",,,
Democratic,20201207-california-assemblymember-ash-kalra-calls-congress-abolish-ice.txt,1,"ICE has a shameful record of human rights abuses, including subjecting immigrants detained in their facilities to inhumane conditions that have resulted in COVID outbreaks and COVID deaths.",,,
Democratic,20201207-california-assemblymember-ash-kalra-calls-congress-abolish-ice.txt,2,ICE agents have posed as local law enforcement even though they are not trained or deputized as police officers.,,,
Democratic,20201207-california-assemblymember-ash-kalra-calls-congress-abolish-ice.txt,3,ICE has misrepresented administrative warrants as judicial warrants.,,,
Democratic,20201207-california-assemblymember-ash-kalra-calls-congress-abolish-ice.txt,4,The agency has failed miserably in controlling for and treating the spread of COVID-19 in detention facilities.,,,
Democratic,20201207-california-assemblymember-ash-kalra-calls-congress-abolish-ice.txt,5,Little to no medical care is provided in some detention cases.,,,
Democratic,20201207-california-assemblymember-ash-kalra-calls-congress-abolish-ice.txt,6,Thousands of children have been removed from their parents for no reason other than to implement a 'zero-tolerance' policy.,,,
Democratic,20201207-california-assemblymember-ash-kalra-calls-congress-abolish-ice.txt,7,ICE has engaged in scapegoating and fear mongering while denying immigrants their basic dignity and humanity.,,,
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,1,AB 378 seeks to update gender-specific code sections relating to the offices of California constitutional officers.,,,
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,2,Current language in California law that assumes constitutional officers are male plays into sexist bias.,,,
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,3,"Gender-neutral language reflects that anyone, regardless of gender identity, can serve at the highest levels of California government.",,,
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,4,The majority of California’s constitutional offices are held by women.,,,
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,5,California Government Code currently refers to some office holders using male pronouns.,,,
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,6,Words used in legislation matter and should reflect the representation of all genders.,,,
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,7,Diversity and inclusion should be reflected at all levels of state government.,,,
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,8,California’s Government Code is a reflection of the state's values.,,,
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,9,Gender-neutral language will reflect a modern understanding of representation.,,,
Democratic,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,10,AB 378 eliminates gendered language in reference to government officers and members of the public.,,,
Democratic,20210302-students-tell-legislators-about-crushing-total-cost-college.txt,1,"The total cost of attending college, including food, housing, and health care, cripples students and undermines their ability to succeed.",,,
Democratic,20210302-students-tell-legislators-about-crushing-total-cost-college.txt,2,"Many students are struggling to make ends meet, working multiple jobs and relying on food pantries.",,,
