press_release,claim_number,claim_text
20190219-berman-introduces-bill-prevent-spread-malicious-deepfakes.txt,8,Deepfakes potentially make it easier to dismiss real events as fake. (This is a claim about how the technology influences the perception of authenticity and reality).
20190219-berman-introduces-bill-prevent-spread-malicious-deepfakes.txt,9,"The technology is described as free and easily accessible, leading to its disproportionate use for humiliating women by manipulating their scraped photos into sexually explicit material. (This details the accessibility of the technology and its gendered misuse)."
20190219-berman-introduces-bill-prevent-spread-malicious-deepfakes.txt,10,"The Department of Defense, through DARPA, has tasked researchers with developing ways to identify deepfakes. (This highlights the scientific and engineering challenge of deepfake detection)."
20190624-berman-introduces-legislation-combat-nefarious-deepfakes-protect-election.txt,1,Deepfakes are characterized as a powerful and dangerous new technology that can be weaponized to sow misinformation and discord among a hyper-partisan electorate. (This statement defines the political impact and threat of deepfakes).
20190624-berman-introduces-legislation-combat-nefarious-deepfakes-protect-election.txt,2,"Deepfakes are said to distort the truth, making it extremely challenging to distinguish real events and actions from fiction and fantasy. (This highlights the epistemological challenge posed by the technology)."
20190624-berman-introduces-legislation-combat-nefarious-deepfakes-protect-election.txt,3,High-quality deepfake videos are very difficult to detect. (This is a claim about the technical challenge of detecting advanced deepfakes).
20190624-berman-introduces-legislation-combat-nefarious-deepfakes-protect-election.txt,4,It is observed that even low-quality video manipulation can spread quickly on social media platforms and cause harm. (This is an empirical observation about the propagation and impact of manipulated media).
20190624-berman-introduces-legislation-combat-nefarious-deepfakes-protect-election.txt,5,"An example is provided where a low-quality manipulated video of House Speaker Nancy Pelosi was viewed over three million times, despite being clearly fake. (This serves as an empirical data point illustrating the reach of manipulated content)."
20190624-berman-introduces-legislation-combat-nefarious-deepfakes-protect-election.txt,6,Deepfakes are further defined as computer-generated photos and videos that are nearly impossible to detect. (This reiterates the technical nature and detection difficulty of the technology).
20190624-berman-introduces-legislation-combat-nefarious-deepfakes-protect-election.txt,7,The widely available artificial intelligence technology allows for the creation of lifelike photos and videos of someone falsely appearing to say or do something. (This explains the accessibility and core function of the AI behind deepfakes).
20190624-berman-introduces-legislation-combat-nefarious-deepfakes-protect-election.txt,8,"By blurring truth and fiction, deepfakes make it significantly easier to pass off fake events as real and dismiss real events as fake. (This is a claim about the technology's influence on public perception and trust in media)."
20190624-berman-introduces-legislation-combat-nefarious-deepfakes-protect-election.txt,9,"""Deceptive audio or visual media"" is legally defined as an ""image or audio or video recording that has been intentionally manipulated in such a manner that it would falsely appear to a reasonable observer to be an authentic record of the actual speech or conduct of the candidate"". (This provides a legal criterion for what constitutes deceptive deepfake content in a political context)."
20191003-california-clamps-down-nonconsensual-deepfake-pornography.txt,1,"When deepfake technology is used to create sexually explicit material without consent, it can cause irreparable harm to a victim's reputation, job prospects, personal relationships, and mental health. (This is a claim about the psychological and social impacts of deepfake misuse)."
20191003-california-clamps-down-nonconsensual-deepfake-pornography.txt,2,Women are disproportionately harassed and humiliated through the process of scraping their photos from the internet and seamlessly grafting them into pornographic content via deepfakes. (This is an empirical claim about the demographic targeting and technical method of a specific deepfake misuse).
20191003-california-clamps-down-nonconsensual-deepfake-pornography.txt,3,Filmmakers can use deepfake technology in mainstream content to depict an actor performing in the nude or engaging in sexual activity without consent or participation. (This is a claim about the professional application and ethical implications of deepfake technology in media production).
20191003-california-clamps-down-nonconsensual-deepfake-pornography.txt,4,"In post-production, filmmakers now have tools to remove underwear, create a digital replica of an individual, or to place the head of one performer on the body of another. (This details specific technical capabilities of advanced digital manipulation and deepfake tools)."
20191003-california-clamps-down-nonconsensual-deepfake-pornography.txt,5,"Deepfakes are defined as hyper-realistic images and recordings of an individual appearing to do or say something that the person, in fact, did not do or say. (This provides a core technical definition of deepfakes)."
20191003-california-clamps-down-nonconsensual-deepfake-pornography.txt,6,"Created by powerful AI technology, deepfakes make it increasingly difficult to differentiate between truth and fiction. (This describes the role of advanced AI in deepfake generation and its impact on media discernment)."
20191003-california-clamps-down-nonconsensual-deepfake-pornography.txt,7,The claim that deepfake technology can be weaponized against any person highlights the broad and indiscriminate potential for malicious use of the technology. (This is a claim about the general applicability of the technology for harmful purposes).
20191003-new-election-integrity-measure-signed-law-anticipation-2020-election.txt,1,"Voters have a right to know when video, audio, and images used to influence their vote in an election have been manipulated and do not represent reality. (This statement underpins the need for deepfake detection and disclosure in political messaging)."
20191003-new-election-integrity-measure-signed-law-anticipation-2020-election.txt,2,Deepfake technology is described as a powerful and dangerous new tool in misinformation campaigns to confuse voters due to its ability to falsely attribute speech or conduct to a candidate. (This is a claim about the strategic threat of deepfakes to democratic processes).
20191003-new-election-integrity-measure-signed-law-anticipation-2020-election.txt,3,"An example is cited where a low-quality, manipulated video of House Speaker Nancy Pelosi, appearing inebriated, was viewed over three million times online, despite its evident falseness. (This provides empirical evidence for the wide reach of manipulated content, regardless of its technical quality)."
20191003-new-election-integrity-measure-signed-law-anticipation-2020-election.txt,4,Deepfakes are characterized as hyper-realistic and thus more challenging to distinguish from legitimate media. (This is a technical claim about the advanced nature of deepfakes compared to simpler manipulations).
20191003-new-election-integrity-measure-signed-law-anticipation-2020-election.txt,5,"The phenomenon where deepfakes blur truth and fiction, making it easier to pass off fake events as real and dismiss real ones as fake, is dubbed ""the liar's dividend"". (This describes a specific cognitive and informational effect attributed to deepfake technology)."
20191003-new-election-integrity-measure-signed-law-anticipation-2020-election.txt,6,"The Carnegie Endowment for International Peace notes that deepfakes have the potential to incite violence, alter election outcomes, and undermine diplomacy. (This lists predicted, severe societal and geopolitical consequences of deepfake proliferation)."
20191003-new-election-integrity-measure-signed-law-anticipation-2020-election.txt,7,A real-world instance where a video of Gabon's president Ali Bongo was decried as a deepfake by his political opponents and cited as a trigger for an unsuccessful coup is mentioned. (This serves as an international case study illustrating the disruptive potential of deepfakes).
20191003-new-election-integrity-measure-signed-law-anticipation-2020-election.txt,8,Then US Director of National Intelligence Dan Coats warned that deepfakes would likely be tactics used to disrupt the 2020 election. (This is an intelligence assessment regarding the anticipated weaponization of deepfakes).
20191003-new-election-integrity-measure-signed-law-anticipation-2020-election.txt,9,"The US House of Representatives Permanent Select Committee on Intelligence convened a hearing on the National Security Challenge of Artificial Intelligence, Manipulated Media, and ""Deepfakes"". (This signifies the recognition of deepfakes as a serious national security and technological challenge)."
20191003-new-election-integrity-measure-signed-law-anticipation-2020-election.txt,10,"Deepfakes are stated to raise profound questions about national security and democratic governance, as individuals and voters may no longer be able to trust their own eyes or ears when assessing media authenticity. (This highlights the fundamental impact of deepfakes on human perception and trust in information)."
20210329-california-legislators-introduce-bipartisan-effort-hold-social-media.txt,1,"There are increasing concerns about the role of social media in spreading bigotry, disinformation, and conspiracy theories. (This is a societal claim about the negative impact of social media platforms)."
20210329-california-legislators-introduce-bipartisan-effort-hold-social-media.txt,2,Social media platforms are described as amplifying extreme and dangerous content and driving severe political polarization. (This is a claim about the algorithmic influence of social media on societal discourse).
20210329-california-legislators-introduce-bipartisan-effort-hold-social-media.txt,3,"Twitter, among other platforms, has been implicated as a venue for hate groups to safely grow. (This is an empirical observation about the use of specific social media platforms by extremist groups)."
20210329-california-legislators-introduce-bipartisan-effort-hold-social-media.txt,4,"A study found a correlation: the greater proportion of race- and ethnicity-based discrimination tweets in a city, the more hate crimes were occurring in that city. (This is an empirical finding suggesting a link between online discriminatory content and real-world violence)."
20210329-california-legislators-introduce-bipartisan-effort-hold-social-media.txt,5,It is stated that violent riots at the Capitol were abetted and encouraged by posts on social media sites. (This is a direct claim linking social media content to real-world political unrest).
20210329-california-legislators-introduce-bipartisan-effort-hold-social-media.txt,6,Efforts by social media companies to self-police have been widely criticized as inadequate. (This is a critical assessment of current content moderation strategies).
20210329-california-legislators-introduce-bipartisan-effort-hold-social-media.txt,7,"Proposed legislation requires social media platforms to disclose how content violations are flagged, including the use of artificial intelligence. (This highlights the application of AI in content moderation processes)."
20210329-california-legislators-introduce-bipartisan-effort-hold-social-media.txt,8,"A claim is made that social media platforms—and their algorithms—are inciting and amplifying hate, racism, and misinformation. (This directly attributes the amplification of harmful content to the underlying algorithms of social media)."
20210329-california-legislators-introduce-bipartisan-effort-hold-social-media.txt,9,"The current situation where Big Tech companies shape public discourse without regulatory guardrails or transparency is deemed ""broken"". (This is a policy-oriented critique concerning the lack of oversight and transparency for powerful technology platforms)."
20210329-california-legislators-introduce-bipartisan-effort-hold-social-media.txt,10,"Greater transparency in online platforms is proposed as a means to combat the rise of disinformation, hate speech, and calls to violence. (This is a proposed solution and a claim about its expected efficacy in addressing harmful online content)."
20220426-assemblymember-kalra-releases-statement-ab-1651.txt,1,Data collection in the workplace has negative impacts on workers.
20220426-assemblymember-kalra-releases-statement-ab-1651.txt,2,Electronic monitoring in the workplace has negative impacts on workers.
20220426-assemblymember-kalra-releases-statement-ab-1651.txt,3,Algorithmic management in the workplace has negative impacts on workers.
20220426-assemblymember-kalra-releases-statement-ab-1651.txt,4,Certain technologies used in the workplace pose a high risk of producing bias-based decisions.
20220621-elected-officials-and-community-leaders-roll-out-new-report-online-hate-and.txt,1,Social media promotes hate.
20220621-elected-officials-and-community-leaders-roll-out-new-report-online-hate-and.txt,2,Social media promotes disinformation.
20220621-elected-officials-and-community-leaders-roll-out-new-report-online-hate-and.txt,3,Social media promotes conspiracy theories.
20220621-elected-officials-and-community-leaders-roll-out-new-report-online-hate-and.txt,4,Social media promotes extreme political polarization.
20220621-elected-officials-and-community-leaders-roll-out-new-report-online-hate-and.txt,5,There are ties between hate-motivated violence and online activity.
20220621-elected-officials-and-community-leaders-roll-out-new-report-online-hate-and.txt,6,There are ties between mass shootings and online activity.
20220621-elected-officials-and-community-leaders-roll-out-new-report-online-hate-and.txt,7,"Extremist, copycat behavior is promulgated in online forums."
20220621-elected-officials-and-community-leaders-roll-out-new-report-online-hate-and.txt,8,Social media platforms recommend harmful content to users even if they are not actively seeking it.
20220621-elected-officials-and-community-leaders-roll-out-new-report-online-hate-and.txt,9,Social media platforms recommend divisive content to users even if they are not actively seeking it.
20220621-elected-officials-and-community-leaders-roll-out-new-report-online-hate-and.txt,10,Facebook's algorithms encourage polarization.
20220830-after-two-year-fight-state-legislature-approves-major-social-media.txt,1,Social media promotes hate.
20220830-after-two-year-fight-state-legislature-approves-major-social-media.txt,2,Social media promotes disinformation.
20220830-after-two-year-fight-state-legislature-approves-major-social-media.txt,3,Social media promotes conspiracy theories.
20220830-after-two-year-fight-state-legislature-approves-major-social-media.txt,4,Social media promotes extreme political polarization.
20220830-after-two-year-fight-state-legislature-approves-major-social-media.txt,5,Hate-motivated violence is linked to online activity.
20220830-after-two-year-fight-state-legislature-approves-major-social-media.txt,6,Mass shootings are linked to online activity.
20220830-after-two-year-fight-state-legislature-approves-major-social-media.txt,7,Mass shooters are often radicalized online.
20220830-after-two-year-fight-state-legislature-approves-major-social-media.txt,8,Social media plays a major role in spreading public health disinformation.
20220830-after-two-year-fight-state-legislature-approves-major-social-media.txt,9,A specific small group of individuals and organizations are responsible for a large percentage of vaccine misinformation on major social media platforms.
20220830-after-two-year-fight-state-legislature-approves-major-social-media.txt,10,Vaccine misinformation is directly linked to COVID-19 vaccine hesitancy and refusal.
20220913-after-two-year-fight-governor-newsom-signs-landmark-social-media.txt,1,Social media platforms amplify extreme and dangerous content.
20220913-after-two-year-fight-governor-newsom-signs-landmark-social-media.txt,2,Social media platforms promote political polarization.
20220913-after-two-year-fight-governor-newsom-signs-landmark-social-media.txt,3,Social media platforms amplify content in pursuit of greater user engagement.
20220913-after-two-year-fight-governor-newsom-signs-landmark-social-media.txt,4,Social media platforms amplify content in pursuit of profitability.
20220913-after-two-year-fight-governor-newsom-signs-landmark-social-media.txt,5,Hate-motivated violence is linked to online activity.
20220913-after-two-year-fight-governor-newsom-signs-landmark-social-media.txt,6,Mass shootings are linked to online activity.
20220913-after-two-year-fight-governor-newsom-signs-landmark-social-media.txt,7,"Extremist, copycat behavior is promulgated in online forums."
20220913-after-two-year-fight-governor-newsom-signs-landmark-social-media.txt,8,Social media plays a major role in spreading public health disinformation.
20220913-after-two-year-fight-governor-newsom-signs-landmark-social-media.txt,9,A specific small group of individuals and organizations are responsible for a large percentage of vaccine misinformation on major social media platforms.
20220913-after-two-year-fight-governor-newsom-signs-landmark-social-media.txt,10,Vaccine misinformation is directly linked to COVID-19 vaccine hesitancy and
20230224-assemblymember-kalra-appointed-chair-select-committee-future-work-and.txt,1,Technological advancement leads to job displacement.
20230224-assemblymember-kalra-appointed-chair-select-committee-future-work-and.txt,2,Automation impacts the nature of work.
20230224-assemblymember-kalra-appointed-chair-select-committee-future-work-and.txt,3,Automation is a significant topic impacting the future of work.
20230224-assemblymember-kalra-appointed-chair-select-committee-future-work-and.txt,4,Artificial intelligence is a significant topic impacting the future of work.
20230320-assemblymember-bauer-kahan-introduces-groundbreaking-bill-regulate-0.txt,1,Automated decision tools (ADTs) are capable of making consequential decisions.
20230320-assemblymember-bauer-kahan-introduces-groundbreaking-bill-regulate-0.txt,2,Automated decision tools (ADTs) require mitigation and assessment due to potential issues.
20230320-assemblymember-bauer-kahan-introduces-groundbreaking-bill-regulate-0.txt,3,Automated decision-making without regulation can lead to heavily biased decisions.
20230320-assemblymember-bauer-kahan-introduces-groundbreaking-bill-regulate-0.txt,4,Machine learning algorithms are used to assess eligibility for benefits or penalties.
20230320-assemblymember-bauer-kahan-introduces-groundbreaking-bill-regulate-0.txt,5,Automated Decision Tools (ADTs) are often trained on biased data.
20230320-assemblymember-bauer-kahan-introduces-groundbreaking-bill-regulate-0.txt,6,ADTs trained on biased data result in harm to marginalized communities.
20230320-assemblymember-bauer-kahan-introduces-groundbreaking-bill-regulate-0.txt,7,A clinical algorithm used in hospitals for patient care exhibited racial bias against Black patients.
20230320-assemblymember-bauer-kahan-introduces-groundbreaking-bill-regulate-0.txt,8,Unregulated use of algorithms will erode institutional legitimacy.
20230320-assemblymember-bauer-kahan-introduces-groundbreaking-bill-regulate-0.txt,9,Unregulated use of algorithms will harm marginalized groups.
20230320-assemblymember-bauer-kahan-introduces-groundbreaking-bill-regulate-0.txt,10,Unchecked use of ADTs can lead to impactful decisions being made without people's knowledge or consent.
20230321-assemblywoman-lori-d-wilson-announces-advancement-freedom-face-surveillance.txt,1,Facial recognition on body cameras acts as a vehicle for mass surveillance.
20230321-assemblywoman-lori-d-wilson-announces-advancement-freedom-face-surveillance.txt,2,Police use of face surveillance worsens racial disparities.
20230321-assemblywoman-lori-d-wilson-announces-advancement-freedom-face-surveillance.txt,3,Police use of face surveillance threatens immigrant communities.
20230321-assemblywoman-lori-d-wilson-announces-advancement-freedom-face-surveillance.txt,4,Police use of face surveillance represses freedom of speech.
20230321-assemblywoman-lori-d-wilson-announces-advancement-freedom-face-surveillance.txt,5,Police use of face surveillance violates privacy.
20230321-assemblywoman-lori-d-wilson-announces-advancement-freedom-face-surveillance.txt,6,Facial recognition poses a threat to people seeking reproductive and gender-affirming healthcare.
20230321-assemblywoman-lori-d-wilson-announces-advancement-freedom-face-surveillance.txt,7,Face surveillance could be used as a means of retaliation and suppression against Black Lives Matter activists.
20230321-assemblywoman-lori-d-wilson-announces-advancement-freedom-face-surveillance.txt,8,Facial recognition compounds racially discriminatory policing.
20230321-assemblywoman-lori-d-wilson-announces-advancement-freedom-face-surveillance.txt,9,The use of facial recognition technology by police departments increases racial disparities in Black and white arrest rates.
20230321-assemblywoman-lori-d-wilson-announces-advancement-freedom-face-surveillance.txt,10,"Black, Brown, and Asian individuals are significantly more likely to be misidentified by facial recognition technology than white male faces."
20230411-assemblymember-bauer-kahans-ab-331-regulating-automated-decision-tools.txt,1,Automated decision tools (ADTs) have bias that requires mitigation.
20230411-assemblymember-bauer-kahans-ab-331-regulating-automated-decision-tools.txt,2,Algorithmic bias is a significant issue that needs prevention.
20230411-assemblymember-bauer-kahans-ab-331-regulating-automated-decision-tools.txt,3,Unregulated decision making via algorithms can lead to heavily biased decisions with devastating impacts.
20230411-assemblymember-bauer-kahans-ab-331-regulating-automated-decision-tools.txt,4,Machine learning algorithms are used to assess eligibility for benefits or penalties.
20230411-assemblymember-bauer-kahans-ab-331-regulating-automated-decision-tools.txt,5,Automated Decision Tools (ADTs) are often trained on biased data.
20230411-assemblymember-bauer-kahans-ab-331-regulating-automated-decision-tools.txt,6,ADTs trained on biased data result in harm to marginalized communities.
20230411-assemblymember-bauer-kahans-ab-331-regulating-automated-decision-tools.txt,7,Unchecked use of ADTs can lead to impactful decisions being made without people's knowledge or consent.
20230411-assemblymember-bauer-kahans-ab-331-regulating-automated-decision-tools.txt,8,Unchecked use of ADTs can engrain social injustice into institutions.
20230411-assemblymember-bauer-kahans-ab-331-regulating-automated-decision-tools.txt,9,Automated Decision Tools (ADTs) are currently making impactful decisions.
20230411-assemblymember-bauer-kahans-ab-331-regulating-automated-decision-tools.txt,10,The current outcomes of ADT usage are not equitable for all.
20230530-assemblymember-ward-bill-package-advances-senate.txt,1,Automated decision-making systems are used in government to facilitate decisions on public benefits.
20230530-assemblymember-ward-bill-package-advances-senate.txt,2,Artificial intelligence is used in government to facilitate decisions on public benefits.
20230530-assemblymember-ward-bill-package-advances-senate.txt,3,Algorithms are used in government to facilitate decisions on public benefits.
20230530-assemblymember-ward-bill-package-advances-senate.txt,4,Transparency is needed regarding government use of AI/algorithms in automated decision-making systems.
20230619-assemblymembers-connolly-kalra-address-sodium-nitrite-suicides.txt,1,"Online algorithms recommend complementary items for suicide methods to users who purchase certain chemicals. ""20230717-assemblywoman-sharon-quirk-silva-stands-solidarity-sag-aftra-their-strike.txt"""
20230619-assemblymembers-connolly-kalra-address-sodium-nitrite-suicides.txt,2,Artificial intelligence is being trained on actors' performances.
20230619-assemblymembers-connolly-kalra-address-sodium-nitrite-suicides.txt,3,Artificial intelligence has implications for scriptwriting.
20230913-assemblymember-kalra-sag-aftra-introduce-first-its-kind-legislation.txt,1,Generative artificial intelligence (AI) is used in employment contracts in the entertainment industry.
20230913-assemblymember-kalra-sag-aftra-introduce-first-its-kind-legislation.txt,2,Digital replication of a performer's work by AI is occurring.
20230913-assemblymember-kalra-sag-aftra-introduce-first-its-kind-legislation.txt,3,"A performer's digital self, created by AI, can take their job."
20230913-assemblymember-kalra-sag-aftra-introduce-first-its-kind-legislation.txt,4,Performers risk losing the right to their digital self due to AI.
20230913-assemblymember-kalra-sag-aftra-introduce-first-its-kind-legislation.txt,5,Digital image and likeness of an actor can be generated and used by AI.
20230913-assemblymember-kalra-sag-aftra-introduce-first-its-kind-legislation.txt,6,AI-created audio and video content is proliferating without full consent.
20230913-assemblymember-kalra-sag-aftra-introduce-first-its-kind-legislation.txt,7,Generative AI can replicate or generate content based on a performer's work.
20230913-assemblymember-kalra-sag-aftra-introduce-first-its-kind-legislation.txt,8,Generative AI can replicate or generate content based on a performer's work without compensation or permission.
20230913-assemblymember-kalra-sag-aftra-introduce-first-its-kind-legislation.txt,9,AI has the capability to use a performer's voice and likeness in perpetuity.
20230913-assemblymember-kalra-sag-aftra-introduce-first-its-kind-legislation.txt,10,AI can impact voice actors in audio books and video games.
20230927-assemblymember-kalra-and-labor-co-sponsors-urge-governor-newsom-sign-ab-96.txt,1,Autonomous transit vehicle technology exists and can be deployed.
20230927-assemblymember-kalra-and-labor-co-sponsors-urge-governor-newsom-sign-ab-96.txt,2,Autonomous driving technology will be used in public transit.
20230927-assemblymember-kalra-and-labor-co-sponsors-urge-governor-newsom-sign-ab-96.txt,3,Automation is impacting the workplace.
20230927-assemblymember-kalra-and-labor-co-sponsors-urge-governor-newsom-sign-ab-96.txt,4,Autonomous technologies can displace workers.
20230927-assemblymember-kalra-and-labor-co-sponsors-urge-governor-newsom-sign-ab-96.txt,5,Autonomous technologies can save employers money on labor costs.
20231009-newsom-vetoes-bill-protecting-california-workers-during-mass-layoffs.txt,1,"Contract workers are training, developing, and monitoring new models like ChatGPT."
20231009-newsom-vetoes-bill-protecting-california-workers-during-mass-layoffs.txt,2,"Contract workers are training, developing, and monitoring new models like generative AI."
20240116-berman-introduces-legislation-outlaw-child-sexual-abuse-images-generated-ai.txt,1,Artificial intelligence (AI) technologies can produce disturbing and harmful content resembling actual children.
20240116-berman-introduces-legislation-outlaw-child-sexual-abuse-images-generated-ai.txt,2,AI is being used to create child sexual abuse material (CSAM) that is virtually indistinguishable from a real child.
20240116-berman-introduces-legislation-outlaw-child-sexual-abuse-images-generated-ai.txt,3,Laws must keep up with rapidly evolving AI technology.
20240116-berman-introduces-legislation-outlaw-child-sexual-abuse-images-generated-ai.txt,4,Computer-generated and artificial intelligence generated child sexual abuse material (CSAM) is a threat.
20240116-berman-introduces-legislation-outlaw-child-sexual-abuse-images-generated-ai.txt,5,Online child exploitation is exacerbated by the rise of AI.
20240116-berman-introduces-legislation-outlaw-child-sexual-abuse-images-generated-ai.txt,6,"AI can generate computer-generated images that depict the likeness of a child, even those that are virtually indistinguishable from an actual child."
20240116-berman-introduces-legislation-outlaw-child-sexual-abuse-images-generated-ai.txt,7,AI can generate images to look like a known child or child celebrity.
20240116-berman-introduces-legislation-outlaw-child-sexual-abuse-images-generated-ai.txt,8,Research has shown a correlation between the consumption of CSAM and an increased risk of individuals engaging in hands-on sexual offenses against minors.
20240116-berman-introduces-legislation-outlaw-child-sexual-abuse-images-generated-ai.txt,9,Viewing and possessing such material can contribute to desensitization and may escalate criminal behavior.
20240116-berman-introduces-legislation-outlaw-child-sexual-abuse-images-generated-ai.txt,10,"A recent study revealed that machine-learning models were trained on datasets containing thousands of depictions of known CSAM victims, revictimizing the children by using their likeness to generate AI CSAM images into perpetuity."
20240131-addis-introduces-student-privacy-protection-act.txt,1,"Advances like those in artificial intelligence have surpassed our state's privacy laws, leaving students vulnerable."
20240131-addis-introduces-student-privacy-protection-act.txt,2,AI leaves students vulnerable to irresponsible uses of their personal data.
20240131-addis-introduces-student-privacy-protection-act.txt,3,Technology continues to progress.
20240131-addis-introduces-student-privacy-protection-act.txt,4,Modernization of privacy laws is required to keep up with exponential growth in the technology sector.
20240214-assemblymember-kalra-sag-aftra-introduce-new-bill-generative-ai-performer.txt,1,"Generative artificial intelligence (AI) is capable of reproducing or creating content based on a performer's work, without their permission or compensation."
20240214-assemblymember-kalra-sag-aftra-introduce-new-bill-generative-ai-performer.txt,2,"Some contracts in the entertainment industry now include clauses that grant full use of a performer's voice and likeness forever, enabled by generative AI capabilities."
20240214-assemblymember-kalra-sag-aftra-introduce-new-bill-generative-ai-performer.txt,3,The protection of voices and likeness from unauthorized digital replication is urgent.
20240214-assemblymember-kalra-sag-aftra-introduce-new-bill-generative-ai-performer.txt,4,AI is emerging in workplaces across every industry.
20240214-assemblymember-kalra-sag-aftra-introduce-new-bill-generative-ai-performer.txt,5,"Technology (AI) can be a tool used to improve jobs, or it can destroy workers' livelihoods."
20240214-assemblymember-kalra-sag-aftra-introduce-new-bill-generative-ai-performer.txt,6,Companies may exploit an individual's unique image through technology.
20240215-assemblymember-bauer-kahan-introduces-bill-eliminate-bias-ai-decision.txt,1,Automated decision tools (ADTs) are already making consequential decisions.
20240215-assemblymember-bauer-kahan-introduces-bill-eliminate-bias-ai-decision.txt,2,"Algorithms are already making decisions about our lives, and there is no check on the bias."
20240215-assemblymember-bauer-kahan-introduces-bill-eliminate-bias-ai-decision.txt,3,Hidden forces (algorithms) are embedding discrimination further into our system.
20240215-assemblymember-bauer-kahan-introduces-bill-eliminate-bias-ai-decision.txt,4,AI can produce biased results.
20240215-assemblymember-bauer-kahan-introduces-bill-eliminate-bias-ai-decision.txt,5,Impact assessments for ADTs must include the makeup of the data and the rigor of the statistical analysis.
20240215-assemblymember-bauer-kahan-introduces-bill-eliminate-bias-ai-decision.txt,6,"ADTs have the potential for adverse impact on the basis of race, color, ethnicity, sex, religion, age, national origin, or any other classification protected by state law."
20240215-assemblymember-bauer-kahan-introduces-bill-eliminate-bias-ai-decision.txt,7,"The usage of ADTs has expanded to employment screening, insurance eligibility, and health care decisions."
20240215-assemblymember-bauer-kahan-introduces-bill-eliminate-bias-ai-decision.txt,8,ADTs have been found to exhibit biases and consequently have resulted in discriminatory impacts and harm to marginalized communities.
20240215-assemblymember-bauer-kahan-introduces-bill-eliminate-bias-ai-decision.txt,9,"A clinical algorithm used across hospitals for determining patient care was racially biased against Black patients, as shown by a study published in Science."
20240215-assemblymember-bauer-kahan-introduces-bill-eliminate-bias-ai-decision.txt,10,Consequential decisions are driven by AI.
20240226-assemblymember-bauer-kahan-introduces-21-ambitious-bills.txt,1,A robust regulatory framework for Artificial Intelligence (AI) is a number one priority.
20240226-assemblymember-bauer-kahan-introduces-21-ambitious-bills.txt,2,Algorithmic decision-making can be biased.
20240226-assemblymember-bauer-kahan-introduces-21-ambitious-bills.txt,3,Algorithmic decision-making makes consequential decisions about Californians' lives.
20240226-assemblymember-bauer-kahan-introduces-21-ambitious-bills.txt,4,"Algorithms are already making decisions about our lives, and there's no check on the bias."
20240226-assemblymember-bauer-kahan-introduces-21-ambitious-bills.txt,5,These hidden forces (algorithms) are embedding discrimination further into our system.
