press_release,claim_number,claim_text,note
assemblyman-tri-ta-announces-the-governor-signing-two-bills-on-public-safety.txt,,,This source does not contain any AI/Emergent Technology claims.
assemblyman-tri-ta-celebrates-committee-passage-of-utility-rate-cap-bill.txt,,,This source does not contain any AI/Emergent Technology claims.
assemblyman-tri-ta-introduces-legislation-to-protect-californians-from-ai-generated-deepfakes.txt,1,"As with any new innovative technology, artificial intelligence can improve people’s lives.",
assemblyman-tri-ta-introduces-legislation-to-protect-californians-from-ai-generated-deepfakes.txt,2,"AI can be, and has been, weaponized to inflict harm.",
assemblyman-tri-ta-introduces-legislation-to-protect-californians-from-ai-generated-deepfakes.txt,3,Artificial intelligence uses complex algorithms to generate simulated reality.,
assemblyman-tri-ta-introduces-legislation-to-protect-californians-from-ai-generated-deepfakes.txt,4,"This new ""deepfake"" technology has become more widely accessible in recent years.",
assemblyman-tri-ta-introduces-legislation-to-protect-californians-from-ai-generated-deepfakes.txt,5,Deepfake technology can be used to cheaply and quickly create fake digital content that is so realistic it is hard to tell if it is genuine or not.,
assemblyman-tri-ta-introduces-legislation-to-protect-californians-from-ai-generated-deepfakes.txt,6,The abuse of AI technology can have a massive impact on people’s lives.,
assemblyman-tri-ta-introduces-legislation-to-protect-californians-from-ai-generated-deepfakes.txt,7,Laws must be updated to keep up with this fast emerging technology.,
assemblyman-tri-ta-introduces-legislation-to-protect-californians-from-ai-generated-deepfakes.txt,8,"Previous state legislation (AB 602, Berman) passed and signed into law in 2019, created a private right of action for placing someone’s face on pornographic material without their consent.",
assemblyman-tri-ta-introduces-legislation-to-protect-californians-from-ai-generated-deepfakes.txt,9,Assemblyman Tri Ta's proposed AB 1721 would enact a penalty of a fine or up to a year in a county jail for knowingly distributing artificially generated pornography using someone’s likeness without consent.,
assemblyman-tri-ta-introduces-legislation-to-protect-californians-from-ai-generated-deepfakes.txt,10,AB 1721 would extend protections to Californians who may not have the monetary means to file private lawsuits.,
bakersfield-californian-kern-countys-way-life-under-attack.txt,,,This source does not contain any AI/Emergent Technology claims.
budget-spotlight-03062025.txt,,,This source does not contain any AI/Emergent Technology claims.
california-defies-federal-civil-rights-order-risks-billions-to-keep-biological-males-in-girls-sports.txt,,,This source does not contain any AI/Emergent Technology claims.
california-senate-unanimously-passes-joness-sexually-violent-predator-accountability.txt,,,This source does not contain any AI/Emergent Technology claims.
californians-deserve-independent-fair-map-drawing-not-politician-driven-retaliation.txt,,,This source does not contain any AI/Emergent Technology claims.
demaio-introduces-freedom-to-work-act-to-protect-small-businesses-protect-independent-contractors-and-combat-union-corruption.txt,,,This source does not contain any AI/Emergent Technology claims.
demaio-introduces-legislation-to-prevent-foreign-government-abuse-of-sensitive-personal-data-of-californians.txt,1,"California consumers have a right to know if foreign governments, such as China, are collecting and misusing their sensitive personal information.",
demaio-introduces-legislation-to-prevent-foreign-government-abuse-of-sensitive-personal-data-of-californians.txt,2,National security experts and consumer protection advocates have raised concerns about foreign governments having sweeping access to sensitive personal information on American citizens.,
demaio-introduces-legislation-to-prevent-foreign-government-abuse-of-sensitive-personal-data-of-californians.txt,3,"AI, social media, and information technology possess amazing potential for transforming people's lives for the better.",
demaio-introduces-legislation-to-prevent-foreign-government-abuse-of-sensitive-personal-data-of-californians.txt,4,"There is a ""sinister aspect"" where foreign governments use AI, social media, and information technology tools to harvest sensitive information on American consumers.",
demaio-introduces-legislation-to-prevent-foreign-government-abuse-of-sensitive-personal-data-of-californians.txt,5,AB 364 would place the state of California at the forefront of protecting consumer privacy from foreign government interception.,
demaio-introduces-legislation-to-prevent-foreign-government-abuse-of-sensitive-personal-data-of-californians.txt,6,"The bill (AB 364) would apply to AI, information technology, and social media platforms.",
demaio-introduces-legislation-to-prevent-foreign-government-abuse-of-sensitive-personal-data-of-californians.txt,7,"AB 364 requires AI, social media, and other technology platforms to disclose to consumers if personal information will be maintained outside of the United States.",
demaio-introduces-legislation-to-prevent-foreign-government-abuse-of-sensitive-personal-data-of-californians.txt,8,AB 364 mandates explicit consent from consumers for a business to maintain personal information outside of the U.S..,
demaio-introduces-legislation-to-prevent-foreign-government-abuse-of-sensitive-personal-data-of-californians.txt,9,"The bill prohibits businesses from maintaining healthcare information, financial information, or geolocation data in the custody of a foreign government or a third party owned or controlled by a foreign government.",
demaio-introduces-legislation-to-prevent-foreign-government-abuse-of-sensitive-personal-data-of-californians.txt,10,"By passing AB 364, California would not only protect its own consumers but also ignite a much-needed national debate on the important issue of protecting America’s ""Data Sovereignty"" from foreign threats.",
fallbrook-bonsall-village-news-pointing-fingers-will-not-reform-bad-policies-changing.txt,,,This source does not contain any AI/Emergent Technology claims.
federal-prosecutors-step-in-to-bring-justice-for-attempted-murder-victim-ret-sheriffs-deputy-meagan-mccarthy.txt,,,This source does not contain any AI/Emergent Technology claims.
gallagher-celebrates-passage-of-2024-legislation.txt,,,This source does not contain any AI/Emergent Technology claims.
gallagher-trump-is-right-california-is-failing-girls-sports.txt,,,This source does not contain any AI/Emergent Technology claims.
gallagher-urges-veto-of-bills-on-governors-desk-09-15-2022.txt,,,This source does not contain any AI/Emergent Technology claims.
icymi-cnn-chyron-what-in-gods-name-is-going-on-with-gavin-newsom.txt,,,This source does not contain any AI/Emergent Technology claims.
jones-calls-panera-breads-exemption-minimum-wage-law-crony-capitalism.txt,1,"Other restaurants ""now must comply with the new minimum wage by all means necessary, including layoffs and replacing workers with automation"".",
jones-introduces-bipartisan-measure-prevent-sexually-violent-predators-being-dumped.txt,,,This source does not contain any AI/Emergent Technology claims.
jones-measure-prevent-sexually-violent-predators-being-dumped-unsuspecting-communities.txt,,,This source does not contain any AI/Emergent Technology claims.
joness-measure-protect-communities-sexually-violent-predators-unanimously-passes.txt,,,This source does not contain any AI/Emergent Technology claims.
leader-jones-introduces-legislation-protect-crime-victims-parole-process.txt,,,This source does not contain any AI/Emergent Technology claims.
leader-jones-urges-gov-newsom-veto-sb-81-would-release-more-violent-criminals-earlier.txt,,,This source does not contain any AI/Emergent Technology claims.
leader-joness-bipartisan-measure-prevent-sexually-violent-predators-being-dumped.txt,,,This source does not contain any AI/Emergent Technology claims.
leader-joness-sexually-violent-predator-accountability-fairness-and-enforcement-act-passes.txt,,,This source does not contain any AI/Emergent Technology claims.
measures-protect-communities-sexually-violent-predators-unanimously-pass-assembly-public.txt,,,This source does not contain any AI/Emergent Technology claims.
newsoms-attacks-usc-professor-mische-are-petty-misleading-and-unworthy-his-office.txt,,,This source does not contain any AI/Emergent Technology claims.
press-release-victory-for-wildfire-victims-hadwick-dahle-and-lackey-secure-critical-relief-in-state-budget.txt,,,This source does not contain any AI/Emergent Technology claims.
property-tax-exemption-disabled-veterans-passes-committee.txt,,,This source does not contain any AI/Emergent Technology claims.
public-safety-measures-ab-392-and-ab-426-pass-through-assembly-judiciary-committee.txt,1,"As online technology continues to evolve, safeguards must be put in place to protect citizens from exploitation by malicious actors.",
public-safety-measures-ab-392-and-ab-426-pass-through-assembly-judiciary-committee.txt,2,Expanding online privacy protection is necessary to create a safer digital environment.,
public-safety-measures-ab-392-and-ab-426-pass-through-assembly-judiciary-committee.txt,3,Californians are vulnerable to intrusive privacy violations.,
public-safety-measures-ab-392-and-ab-426-pass-through-assembly-judiciary-committee.txt,4,There is an alarming rise in cases of unauthorized content of private citizens being uploaded to the internet.,
public-safety-measures-ab-392-and-ab-426-pass-through-assembly-judiciary-committee.txt,5,"Once unauthorized content is uploaded, it is extremely difficult to remove.",
public-safety-measures-ab-392-and-ab-426-pass-through-assembly-judiciary-committee.txt,6,"With artificial intelligence and deepfakes, anyone can become the next victim of image misuse and theft.",
public-safety-measures-ab-392-and-ab-426-pass-through-assembly-judiciary-committee.txt,7,"Existing laws have allowed the uploading of abuse, leaving victims (like parents of exploited children, women, and men posted non-consensually) to try to get it removed.",
public-safety-measures-ab-392-and-ab-426-pass-through-assembly-judiciary-committee.txt,8,AB 392 (referred to as the PROTECT Act) is crucial for strengthening the State’s existing online privacy laws and aims to stop abuse from happening in the first place.,
public-safety-measures-ab-392-and-ab-426-pass-through-assembly-judiciary-committee.txt,9,"AB 392 would require any individual uploading sexually explicit content to an adult media site to provide a statement, under penalty of perjury, that every individual depicted is at least 18 years of age and has provided consent.",
public-safety-measures-ab-392-and-ab-426-pass-through-assembly-judiciary-committee.txt,10,AB 392 would require operators of adult media sites to ensure that sexually explicit content does not include a non-consenting individual or minor and would create a mandatory 48-hour takedown window for non-consensual content.,
senate-appropriations-unanimously-passes-safe-act-protect-communities-sexually-violent.txt,,,This source does not contain any AI/Emergent Technology claims.
senate-minority-leader-jones-and-senator-alvarado-gil-introduce-bipartisan-measure-protect.txt,,,This source does not contain any AI/Emergent Technology claims.
senate-minority-leader-jones-introduces-bipartisan-measure-prevent-sexually-violent.txt,,,This source does not contain any AI/Emergent Technology claims.
senate-minority-leader-jones-introduces-two-measures-protect-communities-sexually-violent.txt,,,This source does not contain any AI/Emergent Technology claims.
senate-passes-5-bipartisan-bills-leader-jones.txt,,,This source does not contain any AI/Emergent Technology claims.
senate-public-safety-committee-unanimously-passes-two-measures-leader-jones-protect.txt,,,This source does not contain any AI/Emergent Technology claims.
senate-republican-leader-grove-demands-governor-cancel-35-million-contract-team-biden-firm.txt,,,This source does not contain any AI/Emergent Technology claims.
senate-republican-leader-grove-demands-investigation-secretary-states-vote-safe-california.txt,,,This source does not contain any AI/Emergent Technology claims.
senator-choi-demands-answers-gerrymandering-senate-committee.txt,,,This source does not contain any AI/Emergent Technology claims.
senator-ochoa-bogh-2024-year-review.txt,,,This source does not contain any AI/Emergent Technology claims.
senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,1,It is critical that children are protected from exploitation in this new digital age.,
senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,2,SB 1381 expands the scope of child pornography laws to include material generated using artificial intelligence.,
senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,3,AI-generated explicit content involving minors needs to be treated with the seriousness it deserves.,
senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,4,"As AI technology advances, it is crucial that laws evolve to protect children from new forms of exploitation.",
senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,5,AB 1831 would add depictions of minors created with artificial intelligence to California’s existing child pornography laws.,
senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,6,AB 1831 and SB 1381 aim to ensure that perpetrators of AI-generated explicit content involving minors are held accountable.,
senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,7,These bills (SB 1381 and AB 1831) provide vital protections by addressing the growing threat of AI-generated explicit content involving minors.,
senator-shannon-grove-announces-incarcerated-womens-protection-measure.txt,,,This source does not contain any AI/Emergent Technology claims.
senator-valladares-introduces-amendment-ensure-ethical-safeguards-redistricting-power-grab.txt,,,This source does not contain any AI/Emergent Technology claims.
