press_release,party,claim_number,claim_text,claim_desc,assigned_to,double_annotate
finally-win-solar-legislature-passes-crucial-solar-legislation-to.txt,Democratic,1,Solar energy and battery storage are critical to protecting learning time in schools. (This claims the efficacy of emergent energy technologies for educational stability).,,Sai,0
comprehensive-legislative-package-authored-senator-becker-to.txt,Democratic,5,AI can be incorporated into education. (This claims the applicability and potential integration of AI in educational settings).,,Zack,0
comprehensive-legislative-package-authored-senator-becker-to.txt,Democratic,1,Large GenAI providers are capable of labeling AI-generated content. (This implies a technical capability of generative AI systems).,,Zack,0
comprehensive-legislative-package-authored-senator-becker-to.txt,Democratic,3,"Consumers' neural data can be collected, processed, and protected. (This refers to the existence and manipulability of emergent neurotechnology data).",,Zack,0
20230411-assemblymember-bauer-kahans-ab-331-regulating-automated-decision-tools.txt,Democratic,1,Automated decision tools (ADTs) have bias that requires mitigation.,,Sai,0
20240929-california-criminalizes-ai-enabled-child-sexual-abuse.txt,Democratic,6,AI literacy content can be integrated into K-12 curriculum.,,Sai,0
20240929-california-criminalizes-ai-enabled-child-sexual-abuse.txt,Democratic,5,AI can generate sexually explicit content that can be virtually indistinguishable from real children.,,Sai,0
20240929-california-criminalizes-ai-enabled-child-sexual-abuse.txt,Democratic,1,Artificial intelligence-generated Child Sexual Abuse Material (CSAM) exists.,,Sai,0
20250520-bipartisan-coalition-defends-californias-role-responsible-ai-innovation.txt,Democratic,4,AI-generated deepfake nude images of minors are circulating in schools.,,Sai,0
20250520-bipartisan-coalition-defends-californias-role-responsible-ai-innovation.txt,Democratic,6,AI algorithms can expose young people to violent pornography.,,Sai,0
20250520-bipartisan-coalition-defends-californias-role-responsible-ai-innovation.txt,Democratic,3,There is a rapid proliferation of AI-generated child sexual abuse materials.,,Sai,0
20240313-democracy-leaders-introduce-solutions-curb-emerging-digital-threats.txt,Democratic,3,Election-related deceptive deepfakes are meant to prevent voters from voting or to deceive them based on fraudulent content.,,Zack,0
20240313-democracy-leaders-introduce-solutions-curb-emerging-digital-threats.txt,Democratic,4,Deepfakes are a powerful and dangerous tool in the arsenal of those that want to wage disinformation campaigns.,,Zack,0
20240313-democracy-leaders-introduce-solutions-curb-emerging-digital-threats.txt,Democratic,9,Widespread access to generative AI is making disinformation damage so much more sophisticated and easier to disseminate.,,Zack,0
20240409-bermans-public-safety-package-advances.txt,Democratic,2,Artificial intelligence (AI) technologies can produce disturbing and harmful content resembling actual children.,,Sai,1
20240409-bermans-public-safety-package-advances.txt,Democratic,2,Artificial intelligence (AI) technologies can produce disturbing and harmful content resembling actual children.,,Zack,1
20240409-bermans-public-safety-package-advances.txt,Democratic,1,There is a new frontier of crimes driven by the malicious use of advanced technology.,,Sai,1
20240409-bermans-public-safety-package-advances.txt,Democratic,1,There is a new frontier of crimes driven by the malicious use of advanced technology.,,Zack,1
20240409-bermans-public-safety-package-advances.txt,Democratic,3,AI is used to create child sexual abuse material (CSAM) that is virtually indistinguishable from a real child.,,Sai,1
20240409-bermans-public-safety-package-advances.txt,Democratic,3,AI is used to create child sexual abuse material (CSAM) that is virtually indistinguishable from a real child.,,Zack,1
20241226-new-year-new-laws.txt,Democratic,1,AI-driven child sexual exploitation poses a new frontier of threats.,,Zack,0
20241226-new-year-new-laws.txt,Democratic,4,AI-generated content can be virtually indistinguishable from actual children.,,Zack,0
20241226-new-year-new-laws.txt,Democratic,3,"AI-generated pictures and videos of children being sexually abused are disturbing, harmful, and virtually indistinguishable from actual children.",,Zack,0
senator-cortese-champions-economic-development-through-data-center-expansion-bill.txt,Democratic,2,Data centers are critical for supporting a vast array of digital services. (This claims the foundational role of data centers for digital technologies).,,Sai,0
senator-cortese-champions-economic-development-through-data-center-expansion-bill.txt,Democratic,1,Expanding data center infrastructure is essential for the continued growth and competitiveness of the tech industry. (This claims a crucial dependency of the technology sector on physical infrastructure).,,Sai,0
senator-cortese-champions-economic-development-through-data-center-expansion-bill.txt,Democratic,5,Data centers consume significant energy (implied by the 100MW to 200MW exemption process). (This implies the substantial power requirements of these technological facilities).,,Sai,0
20230321-assemblywoman-lori-d-wilson-announces-advancement-freedom-face-surveillance.txt,Democratic,7,Face surveillance could be used as a means of retaliation and suppression against Black Lives Matter activists.,,Zack,0
20230321-assemblywoman-lori-d-wilson-announces-advancement-freedom-face-surveillance.txt,Democratic,9,The use of facial recognition technology by police departments increases racial disparities in Black and white arrest rates.,,Zack,0
20230321-assemblywoman-lori-d-wilson-announces-advancement-freedom-face-surveillance.txt,Democratic,4,Police use of face surveillance represses freedom of speech.,,Zack,0
20240215-assemblymember-bauer-kahan-introduces-bill-eliminate-bias-ai-decision.txt,Democratic,5,Impact assessments for ADTs must include the makeup of the data and the rigor of the statistical analysis.,,Sai,0
senator-ochoa-bogh-advocates-californians-urging-action-governor-key-legislative-issues.txt,Republican,6,AB 1831 and SB 1381 aim to ensure that perpetrators of AI-generated explicit content involving minors are held accountable.,,Zack,0
california-senate-unanimously-passes-joness-sexually-violent-predator-accountability.txt,Republican,,,,Sai,0
assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,Republican,4,Consultation with experts in the tech industry who are sounding the alarm about advanced AI technology is needed.,,Zack,0
assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,Republican,5,Elon Musk joined other prominent figures in the tech industry in urging the world’s leading artificial intelligence labs to pause the training of new super-powerful systems for six months.,,Zack,0
assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,Republican,3,The rapid pace at which advanced AI systems like GPT-4 are developing is alarming and unprecedented.,,Zack,0
assembly-democrats-kill-proposals-to-save-girls-sports.txt,Republican,,,,Sai,0
senator-valladares-introduces-amendment-ensure-ethical-safeguards-redistricting-power-grab.txt,Republican,,,,Zack,0
senate-republican-leader-grove-demands-governor-cancel-35-million-contract-team-biden-firm.txt,Republican,,,,Sai,0
assemblyman-tri-ta-introduces-legislation-to-protect-californians-from-ai-generated-deepfakes.txt,Republican,7,Laws must be updated to keep up with this fast emerging technology.,,Zack,1
assemblyman-tri-ta-introduces-legislation-to-protect-californians-from-ai-generated-deepfakes.txt,Republican,7,Laws must be updated to keep up with this fast emerging technology.,,Sai,1
leader-joness-sexually-violent-predator-accountability-fairness-and-enforcement-act-passes.txt,Republican,,,,Sai,0
gallagher-trump-is-right-california-is-failing-girls-sports.txt,Republican,,,,Zack,0
californians-deserve-independent-fair-map-drawing-not-politician-driven-retaliation.txt,Republican,,,,Sai,0
demaio-introduces-legislation-to-prevent-foreign-government-abuse-of-sensitive-personal-data-of-californians.txt,Republican,9,"The bill prohibits businesses from maintaining healthcare information, financial information, or geolocation data in the custody of a foreign government or a third party owned or controlled by a foreign government.",,Zack,1
demaio-introduces-legislation-to-prevent-foreign-government-abuse-of-sensitive-personal-data-of-californians.txt,Republican,9,"The bill prohibits businesses from maintaining healthcare information, financial information, or geolocation data in the custody of a foreign government or a third party owned or controlled by a foreign government.",,Sai,1
demaio-introduces-legislation-to-prevent-foreign-government-abuse-of-sensitive-personal-data-of-californians.txt,Republican,7,"AB 364 requires AI, social media, and other technology platforms to disclose to consumers if personal information will be maintained outside of the United States.",,Zack,1
demaio-introduces-legislation-to-prevent-foreign-government-abuse-of-sensitive-personal-data-of-californians.txt,Republican,7,"AB 364 requires AI, social media, and other technology platforms to disclose to consumers if personal information will be maintained outside of the United States.",,Sai,1
