party,press_release,claim_number,ref_uid,stance_claude_judge,stance_nli_deberta,stance_nli_bart,consensus,unanimous,claim_text,ref_title
dem,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,15,10.1126/sciadv.ade9012,support,silent,silent,silent,0,Californians are at unprecedented risk of wildfire disaster due to the current state of the forests.,"Fire, other ravages jeopardize California's prized forests"
dem,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,6,10.1016/j.jamda.2023.09.013,abstain,silent,refute,silent,0,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.",Investing in the Direct Care Workforce: Lessons From the CalGrows Training and Stipend Initiative
dem,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,6,2023-178,abstain,silent,refute,silent,0,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.",Child Care and Early Education Workforce Recruitment and Retention: Insights from a Current Landscape of Strategies
dem,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,6,2025,abstain,silent,silent,silent,1,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.","Addressing Economic Instability and Workforce Turnover in Early Childhood Education: The Role of Stipends, Wage Supplements, and Professional Development"
dem,20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt,4,turn0search0,abstain,support,support,support,1,"The NAHC's current Five-Year Strategic Plan identified several areas for improvement, which AB 275 seeks to address.",Ramos Bill to Strengthen Native American Cultural Preservation Passes Committee
dem,20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt,4,turn0search12,abstain,support,support,support,1,"The NAHC's current Five-Year Strategic Plan identified several areas for improvement, which AB 275 seeks to address.",AB 275
dem,20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt,4,turn0search13,support,silent,silent,silent,0,"The NAHC's current Five-Year Strategic Plan identified several areas for improvement, which AB 275 seeks to address.",CALIFORNIA NATIVE AMERICAN HERITAGE COMMISSION FIVE-YEAR STRATEGIC PLAN 2018-2022
dem,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,3,10.1136/jech-2013-202574,support,silent,silent,silent,0,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,Cost effectiveness of home and community-based care
dem,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,3,10.1002/alz.12345,abstain,support,silent,support,0,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,Projection of budgetary savings to US state Medicaid programs from reduced nursing home use due to an Alzheimer's disease treatment
dem,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,3,10.2337/dc17-2028,abstain,silent,silent,silent,1,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,Diabetes-Attributable Nursing Home Costs for Each U.S. State
dem,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,3,10.1056/NEJMoa1104362,abstain,silent,silent,silent,1,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,Comparative Cost Analysis of Housing and Case Management Program for Chronically Ill Homeless Adults Compared to Usual Care
dem,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,3,turn0search1,abstain,silent,silent,silent,1,The passing of AB 467 is a societal shift toward equity and progress.,"Ten Years Later, California’s Fair Pay Act Has Transformed Women’s Wages in the State and Sparked a National Movement"
dem,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,3,turn0search2,abstain,silent,silent,silent,1,The passing of AB 467 is a societal shift toward equity and progress.,Disrupting Disparities: Ending the Black Women Wage Gap in California
dem,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,3,turn0search3,abstain,silent,silent,silent,1,The passing of AB 467 is a societal shift toward equity and progress.,California Continues to Lead the Nation with Passage of the Pay Equity Enforcement Act
dem,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,3,turn0search4,abstain,silent,silent,silent,1,The passing of AB 467 is a societal shift toward equity and progress.,Minding the Gaps: Pay Equity in California
dem,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,3,turn0search6,silent,silent,silent,silent,1,The passing of AB 467 is a societal shift toward equity and progress.,"Governor, First Partner mark Latina Equal Pay Day, sign Pay Equity Enforcement Act"
dem,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,11,turn0search12,silent,refute,refute,refute,0,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,Board Policy Statement: Disaster Response
dem,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,11,turn0search11,abstain,refute,refute,refute,1,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,All Pharmacy Law Waivers
dem,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,11,turn0search2,abstain,silent,silent,silent,1,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,Disaster Help Center
dem,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,11,turn0search6,abstain,refute,silent,refute,0,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,Newsletter Volume 170 | Medical Board of California
dem,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,11,turn0search15,abstain,refute,refute,refute,1,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,"Board of Professional Engineers, Land Surveyors, and Geologists Meeting Materials"
dem,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,3,10.1038/s41586-019-1305-2,abstain,support,support,support,1,Tropical forests cover roughly seven percent of the Earth’s surface but harbor close to half of all species on Earth.,Global forest loss causes a biodiversity crisis
dem,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,3,10.1016/j.biocon.2016.12.034,abstain,silent,silent,silent,1,Tropical forests cover roughly seven percent of the Earth’s surface but harbor close to half of all species on Earth.,Tropical forests and biodiversity: A global overview
dem,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,3,10.1073/pnas.2000159117,abstain,support,support,support,1,Tropical forests cover roughly seven percent of the Earth’s surface but harbor close to half of all species on Earth.,The role of tropical forests in biodiversity conservation
dem,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,2,noaa-32384,support,refute,support,support,0,Sea level is expected to climb another 1 to 3.4 feet by 2100.,Our Globally
dem,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,2,noaa-38090,support,silent,silent,silent,0,Sea level is expected to climb another 1 to 3.4 feet by 2100.,PROJECTED
dem,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,2,nca2023,abstain,silent,silent,silent,1,Sea level is expected to climb another 1 to 3.4 feet by 2100.,Coastal Effects
dem,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,2,ntrs-20180001313,abstain,support,support,support,1,Sea level is expected to climb another 1 to 3.4 feet by 2100.,Chapter 12: Sea Level Rise
dem,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,2,nca2014,abstain,support,support,support,1,Sea level is expected to climb another 1 to 3.4 feet by 2100.,Sea Level Rise
dem,20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt,3,10.1186/s12889-021-11687-8,abstain,silent,silent,silent,1,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.","Homelessness during COVID-19: challenges, responses, and lessons learned from homeless service providers in Tippecanoe County, Indiana"
dem,20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt,3,10.1001/jamanetworkopen.2022.23891,abstain,silent,silent,silent,1,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.",Association of Shelter-in-Place Hotels With Health Services Use Among People Experiencing Homelessness During the COVID-19 Pandemic
dem,20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt,3,10.1186/s12889-019-7856-0,abstain,silent,silent,silent,1,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.","The impact of interventions for youth experiencing homelessness on housing, mental health, substance use, and family cohesion: a systematic review"
dem,20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt,3,10.3390/ijerph191912120,abstain,silent,silent,silent,1,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.","Impact of Social Isolation during the COVID-19 Pandemic on Mental Health, Substance Use, and Homelessness: Qualitative Interviews with Behavioral Health Provide"
dem,20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt,3,10.3390/ijerph19063219,silent,silent,silent,silent,1,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.",A Scoping Review of the Health Impact of the COVID-19 Pandemic on Persons Experiencing Homelessness in North America and Europe
dem,20210302-students-tell-legislators-about-crushing-total-cost-college.txt,3,10.1186/s12889-023-16184-8,support,silent,silent,silent,0,"Students' needs for food, housing, and mental health care are crucial for their success in higher education.",Exploring the effects of health behaviors and mental health on students’ academic achievement: a cross-sectional study on lebanese university students
dem,20210302-students-tell-legislators-about-crushing-total-cost-college.txt,3,10.1080/07448481.2021.1990190,abstain,silent,silent,silent,1,"Students' needs for food, housing, and mental health care are crucial for their success in higher education.","Food Insecurity, Well-being, and Academic Success among College Students: Implications for Post COVID-19 Pandemic Programming"
dem,20210302-students-tell-legislators-about-crushing-total-cost-college.txt,3,10.1080/07448481.2022.2040190,abstain,silent,silent,silent,1,"Students' needs for food, housing, and mental health care are crucial for their success in higher education.",Exploring housing insecurity in relation to student success
dem,20210302-students-tell-legislators-about-crushing-total-cost-college.txt,3,10.1017/jch.2021.45,abstain,silent,silent,silent,1,"Students' needs for food, housing, and mental health care are crucial for their success in higher education.",College student sleep quality and mental and physical health are associated with food insecurity in a multi-campus study
dem,20210302-students-tell-legislators-about-crushing-total-cost-college.txt,3,10.1186/s12889-019-6943-6,abstain,silent,silent,silent,1,"Students' needs for food, housing, and mental health care are crucial for their success in higher education.",Prevalence and correlates of food insecurity among U.S. college students: a multi-institutional study
dem,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,1,2104.10155,abstain,silent,silent,silent,1,"A good quality e-bike can cost between $600 and $10,000.",Optimal Design of Electric Micromobility Vehicles
dem,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,1,1402.4869,abstain,silent,silent,silent,1,"A good quality e-bike can cost between $600 and $10,000.",The Impact of Cost and Network Topology on Urban Mobility: A Study of Public Bicycle Usage in 2 U.S. Cities
dem,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,3,10.1080/15568318.2021.1914787,abstain,silent,silent,silent,1,"Electric bikes can accomplish almost all of the trips that electric cars can, including taking children to school and hauling heavy loads.",Electric Bicycles and Cargo Bikes—Tools for Parents To Keep On Biking in Auto-Centric Communities? Findings From a US Metropolitan Area
dem,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,3,turn0search11,support,silent,silent,silent,0,"Electric bikes can accomplish almost all of the trips that electric cars can, including taking children to school and hauling heavy loads.",E-cargo bikes can replace car trips and reshape family travel
dem,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,3,turn0search0,support,silent,silent,silent,0,"Electric bikes can accomplish almost all of the trips that electric cars can, including taking children to school and hauling heavy loads.",Transporting kids by e-bike
dem,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,3,turn0search1,abstain,silent,silent,silent,1,"Electric bikes can accomplish almost all of the trips that electric cars can, including taking children to school and hauling heavy loads.",Understanding Factors That Lead to Electric Bicycles for Bay Area Users with Children
dem,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,3,10.1136/bmjopen-2023-073456,abstain,silent,silent,silent,1,"Electric bikes can accomplish almost all of the trips that electric cars can, including taking children to school and hauling heavy loads.",Physical activity when riding an electric-assisted bicycle with and without cargo
dem,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,6,10.3390/eng13010228,abstain,silent,refute,silent,0,Eighty percent of vehicle trips in California are less than ten miles.,Using Connected Vehicle Data to Evaluate National Trip Trends
dem,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,6,turn0search1,abstain,silent,silent,silent,1,Eighty percent of vehicle trips in California are less than ten miles.,Vehicle Trips and Mileage by Trip Length
dem,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,6,10.1007/s11116-022-10256-0,abstain,silent,silent,silent,1,Eighty percent of vehicle trips in California are less than ten miles.,Vehicle access and falling transit ridership: evidence from Southern California
dem,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,6,turn0search5,abstain,silent,silent,silent,1,Eighty percent of vehicle trips in California are less than ten miles.,"Revisiting Average Trip Length Defaults and Adjustment Factors for Quantifying VMT Reductions from Car Share, Bike Share, and Scooter Share Services"
dem,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,10,turn0search0,abstain,silent,silent,silent,1,There are equity gaps in California's current approach to incentivizing electric bike purchases.,California E-Bike Incentive Project
dem,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,10,turn0search2,silent,silent,silent,silent,1,There are equity gaps in California's current approach to incentivizing electric bike purchases.,E-Bike Purchase Incentives
dem,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,10,turn0search3,silent,silent,silent,silent,1,There are equity gaps in California's current approach to incentivizing electric bike purchases.,General FAQ's - California E-Bike Incentive Project
dem,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,10,turn0search4,abstain,silent,silent,silent,1,There are equity gaps in California's current approach to incentivizing electric bike purchases.,Retailer FAQs - California E-Bike Incentive Project
dem,20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt,10,turn0search7,abstain,silent,silent,silent,1,There are equity gaps in California's current approach to incentivizing electric bike purchases.,"E-bike program will give 1,000 Californians vouchers to purchase electric bikes on May 29"
dem,20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt,5,NCJRS-247327,abstain,silent,silent,silent,1,The California Department of Justice should serve as the central clearinghouse for hate crime reports to coordinate with local law enforcement.,"Hate Crime in California, 2011"
dem,20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt,5,NCJRS-191215,abstain,silent,silent,silent,1,The California Department of Justice should serve as the central clearinghouse for hate crime reports to coordinate with local law enforcement.,"Reporting Hate Crimes, Final Report"
dem,20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt,5,CA-AG-2022-Hate-Crime-Report,abstain,silent,silent,silent,1,The California Department of Justice should serve as the central clearinghouse for hate crime reports to coordinate with local law enforcement.,2022 Hate Crime in California Report
dem,20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt,5,CA-AG-2024-Hate-Crime-Report,abstain,silent,silent,silent,1,The California Department of Justice should serve as the central clearinghouse for hate crime reports to coordinate with local law enforcement.,2024 Hate Crime Report
dem,20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt,5,CA-AG-2025-RIPA-Report,abstain,silent,silent,silent,1,The California Department of Justice should serve as the central clearinghouse for hate crime reports to coordinate with local law enforcement.,2025 Racial and Identity Profiling Act (RIPA) Report
dem,20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt,3,10.1177/1462474513482655,support,silent,silent,silent,0,"Law enforcement agencies in California routinely fail to adequately identify, report, or respond to hate crimes.",Police Responses to Hate Crimes: A Review of the Literature
dem,20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt,3,10.1037/tra0000041,support,silent,silent,silent,0,"Law enforcement agencies in California routinely fail to adequately identify, report, or respond to hate crimes.",The Role of Police in Addressing Hate Crimes
dem,20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt,3,10.1016/j.jcrimjus.2017.09.001,abstain,silent,silent,silent,1,"Law enforcement agencies in California routinely fail to adequately identify, report, or respond to hate crimes.",An Analysis of Hate Crime Reporting in the United States
dem,20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt,3,10.1177/0002716217699142,abstain,silent,silent,silent,1,"Law enforcement agencies in California routinely fail to adequately identify, report, or respond to hate crimes.",Understanding Law Enforcement’s Response to Hate Crimes: Impacts on Victims and Communities
dem,20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt,3,10.1111/jonm.12264,abstain,silent,silent,silent,1,"Law enforcement agencies in California routinely fail to adequately identify, report, or respond to hate crimes.",Police as a Social Control Mechanism: An Examination of Hate Crimes
dem,20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt,4,turn0search0,abstain,silent,silent,silent,1,Cal/OSHA strike teams will be deployed to ensure employers are in compliance with Cal/OSHA regulations during major unhealthy air quality events.,"Cal/OSHA urges employers to protect workers from smoke due to the Wolf, Juniper, and Lake Fires"
dem,20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt,4,turn0search2,abstain,silent,silent,silent,1,Cal/OSHA strike teams will be deployed to ensure employers are in compliance with Cal/OSHA regulations during major unhealthy air quality events.,"Cal/OSHA warns of unhealthy air from wildfires, urges steps to safeguard workers"
dem,20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt,4,turn0search3,abstain,silent,silent,silent,1,Cal/OSHA strike teams will be deployed to ensure employers are in compliance with Cal/OSHA regulations during major unhealthy air quality events.,Requirements to Protect Workers
dem,20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt,4,turn0search5,abstain,silent,silent,silent,1,Cal/OSHA strike teams will be deployed to ensure employers are in compliance with Cal/OSHA regulations during major unhealthy air quality events.,Wildfire smoke protection measures required by Cal/OSHA
dem,20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt,4,turn0search6,silent,silent,silent,silent,1,Cal/OSHA strike teams will be deployed to ensure employers are in compliance with Cal/OSHA regulations during major unhealthy air quality events.,"Cal. Code Regs. Tit. 8, § 5141.1 - Protection from Wildfire Smoke"
dem,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,7,CA-AB-1057-2021,support,silent,silent,silent,0,AB 1057 ensures that known dangers cannot possess precursor parts that can be converted into functional firearms.,Assembly Bill No. 1057
dem,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,7,CA-AB-1621-2022-Guidebook,abstain,silent,refute,silent,0,AB 1057 ensures that known dangers cannot possess precursor parts that can be converted into functional firearms.,Firearm Precursor Part Identification Guidebook
dem,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,7,CA-AB-1621-2022-Regs,abstain,silent,refute,silent,0,AB 1057 ensures that known dangers cannot possess precursor parts that can be converted into functional firearms.,Revised Firearm Precursor Part Definitions and Guidebook
dem,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,10,10.1186/s12889-023-16043-6,abstain,silent,silent,silent,1,California's Gun Violence Restraining Order (GVRO) law has received broad bipartisan support.,The origins of California’s gun violence restraining order law: a case study using Kingdon’s multiple streams framework
dem,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,10,10.1001/jamanetworkopen.2022.4216,abstain,silent,silent,silent,1,California's Gun Violence Restraining Order (GVRO) law has received broad bipartisan support.,Firearm Violence Following the Implementation of California’s Gun Violence Restraining Order Law
dem,20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt,10,10.1371/journal.pone.0258547,abstain,support,support,support,1,California's Gun Violence Restraining Order (GVRO) law has received broad bipartisan support.,Implementation and perceived effectiveness of gun violence restraining orders in California: A qualitative evaluation
dem,20220721-bennett-limon-bill-restrict-gun-sales-ventura-county-fairground-signed.txt,5,10.1056/NEJMp2203700,abstain,silent,silent,silent,1,Firearm-related deaths are now the leading cause of death for children ages 1 to 19.,Firearm-Related Injuries and Deaths in Children and Youth
dem,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,8,turn0search1,abstain,support,support,support,1,The Fremont Housing Navigation Center opened in 2020 to support unhoused residents.,City of Fremont Announces Opening of Housing Navigation Center for Homeless Individuals
dem,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,8,turn0search2,support,silent,silent,silent,0,The Fremont Housing Navigation Center opened in 2020 to support unhoused residents.,Fremont Housing Navigation Center Shares Successful Six-Month Update
dem,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,8,turn0search3,support,refute,silent,support,0,The Fremont Housing Navigation Center opened in 2020 to support unhoused residents.,Fremont Housing Navigation Center Shares Successful Second Year Update
dem,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,8,turn0search4,abstain,support,support,support,1,The Fremont Housing Navigation Center opened in 2020 to support unhoused residents.,Fremont Housing Navigation Center Marks Four Years of Impact
dem,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,8,turn0search6,abstain,support,support,support,1,The Fremont Housing Navigation Center opened in 2020 to support unhoused residents.,"Fremont opens 1st homeless navigation center, following example set in San Francisco and Oakland"
dem,20220918-governor-signs-bill-extend-and-strengthen-californias-nonprofit-security.txt,3,turn0search0,abstain,silent,silent,silent,1,The California state budget included a $50 million allocation for the Nonprofit Security Grant Program this year.,Governor Newsom Doubles Funding to Bolster Safety and Security in Faith Communities
dem,20220918-governor-signs-bill-extend-and-strengthen-californias-nonprofit-security.txt,3,turn0search1,abstain,silent,silent,silent,1,The California state budget included a $50 million allocation for the Nonprofit Security Grant Program this year.,Governor Newsom announces $76 million in grants to bolster safety and security in faith communities and nonprofits
dem,20220918-governor-signs-bill-extend-and-strengthen-californias-nonprofit-security.txt,3,turn0search2,abstain,silent,refute,silent,0,The California state budget included a $50 million allocation for the Nonprofit Security Grant Program this year.,Hundreds of California nonprofits to receive funding to help safeguard against hate-based violence
dem,20220918-governor-signs-bill-extend-and-strengthen-californias-nonprofit-security.txt,3,turn0search4,abstain,silent,silent,silent,1,The California state budget included a $50 million allocation for the Nonprofit Security Grant Program this year.,Cal OES Announces Release of $47 Million in Awards to Help Nonprofit and Faith-Based Organizations Enhance Security and Safety
dem,20220918-governor-signs-bill-extend-and-strengthen-californias-nonprofit-security.txt,3,turn0search9,abstain,silent,silent,silent,1,The California state budget included a $50 million allocation for the Nonprofit Security Grant Program this year.,Cal OES Announces $39 Million in Awards to Help Nonprofit and Faith-Based Organizations Enhance Security and Safety
dem,20220928-loma-linda-university-childrens-hospital-celebrates-new-funding-innovative.txt,1,turn0search0,support,support,support,support,1,Loma Linda University Children’s Hospital received $4 million in the 2022-23 state budget for a program to offer individualized physical and mental care to abused foster children.,Loma Linda University Children’s Hospital celebrates new funding for innovative treatment model to aid region’s foster youth abuse victims
dem,20220928-loma-linda-university-childrens-hospital-celebrates-new-funding-innovative.txt,1,turn0search1,support,silent,silent,silent,0,Loma Linda University Children’s Hospital received $4 million in the 2022-23 state budget for a program to offer individualized physical and mental care to abused foster children.,Children’s Hospital presented with $4 million state allocation
dem,20220928-loma-linda-university-childrens-hospital-celebrates-new-funding-innovative.txt,1,turn0search3,abstain,silent,silent,silent,1,Loma Linda University Children’s Hospital received $4 million in the 2022-23 state budget for a program to offer individualized physical and mental care to abused foster children.,Children's Hospital receives $4 million in state funding to support victims of child abuse and neglect
dem,20221220-first-nation-law-require-opioid-blocking-nasal-spray-gas-stations-bars-and.txt,3,turn0search1,abstain,silent,silent,silent,1,One out of every five California youths aged 15 to 24 who died in 2021 were killed by a fentanyl overdose.,"Fentanyl-related deaths in CA spiked past 5,700 last year. That’s up from less than 100 a decade ago"
dem,20221220-first-nation-law-require-opioid-blocking-nasal-spray-gas-stations-bars-and.txt,3,turn0search3,abstain,support,support,support,1,One out of every five California youths aged 15 to 24 who died in 2021 were killed by a fentanyl overdose.,"State Superintendent Tony Thurmond Pledges to Help Schools Access Prevention, Education, and Treatment to Counter the Fentanyl Crisis"
dem,20221220-first-nation-law-require-opioid-blocking-nasal-spray-gas-stations-bars-and.txt,3,turn0search4,abstain,silent,silent,silent,1,One out of every five California youths aged 15 to 24 who died in 2021 were killed by a fentanyl overdose.,Fentanyl-related deaths among children increased more than 30-fold between 2013 and 2021
