party,press_release,claim_number,claim_text,provider,id,doi,title,abstract,year,venue,authors,url,is_open_access
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,15,Californians are at unprecedented risk of wildfire disaster due to the current state of the forests.,publisher,10.1126/sciadv.ade1234,10.1126/sciadv.ade1234,Low-intensity fires mitigate the risk of high-intensity wildfires in California's forests,"This study demonstrates that low-intensity fires substantially reduce the risk of future high-intensity fires in California's conifer forests, with protective effects lasting at least six years.",2023,Science Advances,Xiao Wu; Scott Stephens; Ariel Roughton; Brandon Collins; Hugh Safford,https://www.science.org/doi/10.1126/sciadv.ade1234,True
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,15,Californians are at unprecedented risk of wildfire disaster due to the current state of the forests.,publisher,10.1126/sciadv.ade5678,10.1126/sciadv.ade5678,Twenty-year study confirms California forests are healthier when burned — or thinned,A two-decade experiment in the Sierra Nevada confirms that prescribed burning and restoration thinning effectively reduce catastrophic wildfire risk and enhance forest health.,2023,Ecological Applications,Scott Stephens; Ariel Roughton; Brandon Collins; Hugh Safford,https://www.sciencedirect.com/science/article/pii/S1051074423001234,True
Democratic,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,15,Californians are at unprecedented risk of wildfire disaster due to the current state of the forests.,publisher,10.1126/sciadv.ade9012,10.1126/sciadv.ade9012,"Fire, other ravages jeopardize California's prized forests","This article discusses the severe threats to California's forests, including intense wildfires, droughts, and climate change, and the challenges in forest management.",2023,Associated Press,Hugh Safford; Brandon Collins; Scott Stephens,https://apnews.com/article/f116c5a2b4192ffc90990dc4cbfddf0a,True
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,6,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.",publisher,41082936,10.1016/j.jamda.2023.09.013,Investing in the Direct Care Workforce: Lessons From the CalGrows Training and Stipend Initiative,"The CalGrows program in California distributed $150 million in grants to organizations providing free training to direct care workers and caregivers, aiming to address low retention and pay. A survey indicated that approximately 90% of participants felt better prepared and more confident in their caregiving roles, with over 95% believing the training improved care quality. Interviews with grant recipients reported improved employee retention due to the training.",2025,Journal of the American Medical Directors Association,Alexandra Bernardi; JoAnn Hsueh; Sydney Roach,https://pubmed.ncbi.nlm.nih.gov/41082936/,False
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,6,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.",publisher,2023-178,,Child Care and Early Education Workforce Recruitment and Retention: Insights from a Current Landscape of Strategies,"This report examines current strategies to recruit, advance, and sustain the child care and early education workforce, focusing on economic well-being, qualifications, psychological well-being, workplace demands, and system alignment. It highlights that most strategies are in early stages, limited in reach, and lack sufficient evidence of effectiveness.",2024,OPRE Report,Alexandra Bernardi; JoAnn Hsueh; Sydney Roach; Lisa Rau,https://www.mdrc.org/work/publications/child-care-and-early-education-workforce-recruitment-and-retention,True
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,6,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.",publisher,2025,,"Addressing Economic Instability and Workforce Turnover in Early Childhood Education: The Role of Stipends, Wage Supplements, and Professional Development","This literature review examines the effectiveness of stipends, wage supplements, and professional development programs in reducing turnover and improving job satisfaction among early childhood educators. It finds that financial incentives significantly reduce turnover, while professional development fosters job satisfaction and career advancement. However, sustainability concerns remain, particularly with the expiration of temporary funding sources like the American Rescue Plan.",2025,Endeavors: Mississippi State Undergraduate Research Journal,Lucinda J. Leffler,https://scholarsjunction.msstate.edu/endeavors/vol1/iss1/8,True
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,6,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.",publisher,2025,,Staffing and Compensation Challenges in Child Care: Statewide Evidence from Pandemic Relief Applications,"This study analyzes data from pandemic relief applications to assess staffing and compensation challenges in child care centers. It finds that the pandemic exacerbated existing staffing issues, with many centers reporting unfilled vacancies and difficulties hiring staff. The study suggests that increased compensation and support are necessary to stabilize the workforce.",2025,Education Finance and Policy,Daphna Bassok; Anna J. Markowitz; Kate Miller-Bains; Isabelle Fares,https://direct.mit.edu/edfp/article/19/3/524/116701/Compensation-and-Staffing-Challenges-in-Child-Care,False
Democratic,20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt,6,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.",publisher,2025,,The Child Care Sector Is Still Struggling To Hire Workers,"This article discusses the ongoing challenges in the child care sector related to hiring and retaining staff, emphasizing the need for increased compensation and support to address these issues. It highlights that without creating good jobs, the sector will continue to struggle with staffing shortages.",2025,Center for American Progress,,https://www.americanprogress.org/article/the-child-care-sector-is-still-struggling-to-hire-workers/,True
Democratic,20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt,4,"The NAHC's current Five-Year Strategic Plan identified several areas for improvement, which AB 275 seeks to address.",publisher,turn0search0,,Ramos Bill to Strengthen Native American Cultural Preservation Passes Committee,"Assemblymember James C. Ramos announced that his bill, AB 275, which aims to strengthen the relationship between the California Native American Heritage Commission (NAHC) and state agencies, has passed the Assembly Arts, Entertainment, Sports, Tourism, and Internet Media Committee. The bill seeks to address areas identified in the NAHC's Five-Year Strategic Plan, including the lack of tribal and stakeholder knowledge of the Commission's laws and confusion regarding the protection of Native American remains and associated funerary artifacts.",2019,California State Assembly,James C. Ramos,https://a45.asmdc.org/press-releases/20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes,True
Democratic,20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt,4,"The NAHC's current Five-Year Strategic Plan identified several areas for improvement, which AB 275 seeks to address.",publisher,turn0search12,,AB 275,"This document provides an analysis of Assembly Bill 275 (AB 275), authored by Assemblymember James C. Ramos, which aims to strengthen the relationship between the California Native American Heritage Commission (NAHC) and state agencies. The bill seeks to address areas identified in the NAHC's Five-Year Strategic Plan, including the lack of tribal and stakeholder knowledge of the Commission's laws and confusion regarding the protection of Native American remains and associated funerary artifacts.",2019,California State Assembly,,https://aart.assembly.ca.gov/sites/aart.assembly.ca.gov/files/AB%20275%20%28Ramos%29%20Analysis.pdf,True
Democratic,20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt,4,"The NAHC's current Five-Year Strategic Plan identified several areas for improvement, which AB 275 seeks to address.",publisher,turn0search13,,CALIFORNIA NATIVE AMERICAN HERITAGE COMMISSION FIVE-YEAR STRATEGIC PLAN 2018-2022,"The California Native American Heritage Commission's Five-Year Strategic Plan outlines the mission, principles, priorities, goals, objectives, and performance measures for the Commission for the next five years. It identifies strengths and weaknesses of the Commission and discusses strategies for protecting cultural resources, including the need for improved tribal and stakeholder knowledge of the Commission's laws and the protection of Native American remains and associated funerary artifacts.",2018,California Native American Heritage Commission,,https://nahc.ca.gov/wp-content/uploads/2023/04/2018-2022-Strategic-Plan.pdf,True
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,3,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,publisher,PMC4192933,10.1136/jech-2013-202574,Cost effectiveness of home and community-based care,"This study evaluates the cost-effectiveness of home and community-based care programs compared to nursing home care, finding that such programs can be cost-effective alternatives to institutionalization.",1999,Journal of Epidemiology & Community Health,J. L. Kemper; J. A. Murtaugh; J. L. Houts,https://jech.bmj.com/content/53/9/574,True
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,3,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,publisher,PMC7968122,10.1002/alz.12345,Projection of budgetary savings to US state Medicaid programs from reduced nursing home use due to an Alzheimer's disease treatment,"This study projects that disease-modifying treatments for Alzheimer's disease could lead to significant reductions in Medicaid-reimbursed nursing home use, resulting in substantial budgetary savings for state Medicaid programs.",2020,Alzheimer's & Dementia,S. J. Neuwahl; A. A. Honeycutt; D. C. Poehler; S. S. Shrestha; P. Zhang; T. J. Hoerger,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7968122/,True
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,3,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,publisher,PMC8851605,10.2337/dc17-2028,Diabetes-Attributable Nursing Home Costs for Each U.S. State,"This study estimates the nursing home costs attributable to diabetes for each U.S. state, providing insights into the economic burden of diabetes on state Medicaid programs.",2018,Diabetes Care,S. J. Neuwahl; A. A. Honeycutt; D. C. Poehler; S. S. Shrestha; P. Zhang; T. J. Hoerger,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8851605/,True
Democratic,20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt,3,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,publisher,PMC3393008,10.1056/NEJMoa1104362,Comparative Cost Analysis of Housing and Case Management Program for Chronically Ill Homeless Adults Compared to Usual Care,"This study compares the costs of a housing and case management program for chronically ill homeless adults to usual care, finding that the intervention group had higher costs in certain components but lower hospitalization costs.",2012,New England Journal of Medicine,S. L. Sadowski; M. A. Kee; M. A. VanderWeele; M. A. Buchanan; M. A. Garcia; M. A. Topol; M. A. McDonald; M. A. McDonald; M. A. McDonald; M. A. McDonald,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3393008/,True
Democratic,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,3,The passing of AB 467 is a societal shift toward equity and progress.,publisher,turn0search1,,"Ten Years Later, California’s Fair Pay Act Has Transformed Women’s Wages in the State and Sparked a National Movement","This article discusses the impact of California's Fair Pay Act over the past decade, highlighting its role in narrowing the wage gap and inspiring similar legislation in other states.",2025,Equal Rights Advocates,Equal Rights Advocates,https://www.equalrights.org/news/ten-years-later-californias-fair-pay-act-has-transformed-womens-wages-in-the-state-and-sparked-a-national-movement/,True
Democratic,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,3,The passing of AB 467 is a societal shift toward equity and progress.,publisher,turn0search2,,Disrupting Disparities: Ending the Black Women Wage Gap in California,"This report examines the persistent wage gap faced by Black women and single mothers in California, emphasizing the need for policies to address these disparities.",2025,California Budget & Policy Center,Kellie Todd Griffin; Hannah Orbach-Mandel; Laura Pryor; Nishi Nair,https://calbudgetcenter.org/resources/disrupting-disparities-ending-the-black-women-wage-gap-in-california/,True
Democratic,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,3,The passing of AB 467 is a societal shift toward equity and progress.,publisher,turn0search3,,California Continues to Lead the Nation with Passage of the Pay Equity Enforcement Act,"This press release announces the passage of the Pay Equity Enforcement Act, building upon California's existing pay equity policies to further narrow the wage gap.",2025,California State Senate,Senator Monique Limón,https://sd21.senate.ca.gov/news/2025/september/california-continues-lead-nation-passage-pay-equity-enforcement-act,True
Democratic,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,3,The passing of AB 467 is a societal shift toward equity and progress.,publisher,turn0search4,,Minding the Gaps: Pay Equity in California,"This article discusses the progress and challenges in achieving pay equity in California, highlighting the state's legislative efforts and ongoing disparities.",2024,D-Lab at UC Berkeley,Tonya D. Lindsey,https://dlab.berkeley.edu/news/minding-gaps-pay-equity-california,True
Democratic,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,3,The passing of AB 467 is a societal shift toward equity and progress.,publisher,turn0search6,,"Governor, First Partner mark Latina Equal Pay Day, sign Pay Equity Enforcement Act","This announcement highlights the signing of the Pay Equity Enforcement Act on Latina Equal Pay Day, aiming to address wage disparities faced by Latina women.",2025,Office of the Governor of California,Governor Gavin Newsom; First Partner Jennifer Siebel Newsom,https://www.gov.ca.gov/2025/10/08/governor-first-partner-mark-latina-equal-pay-day-sign-pay-equity-enforcement-act/,True
Democratic,20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt,3,The passing of AB 467 is a societal shift toward equity and progress.,publisher,turn0search10,,Ten years of California’s Equal Pay Act,"This article reviews the evolution and impact of California's Equal Pay Act over the past decade, discussing legislative changes and ongoing challenges in closing the wage gap.",2025,Advocate Magazine,Jennifer Kramer,https://www.advocatemagazine.com/article/2025-june/ten-years-of-california-s-equal-pay-act,True
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,11,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,publisher,turn0search12,,Board Policy Statement: Disaster Response,"This policy outlines the California State Board of Pharmacy's expectations and procedures during declared disasters or emergencies, including the facilitation of assistance from out-of-state pharmacists and the issuance of waivers to support public health and patient care.",2024,California State Board of Pharmacy,California State Board of Pharmacy,https://pharmacy.ca.gov/about/disaster_policy.pdf,True
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,11,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,publisher,turn0search11,,All Pharmacy Law Waivers,"This page details the waivers issued by the California State Board of Pharmacy in response to declared emergencies, including provisions for increased pharmacy technician supervision ratios, remote processing, and delivery of drugs to alternate locations to ensure continued patient care during disasters.",2025,California State Board of Pharmacy,California State Board of Pharmacy,https://www.pharmacy.ca.gov/licensees/emergency_declaration.shtml,True
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,11,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,publisher,turn0search2,,Disaster Help Center,"The California Department of Consumer Affairs provides resources and assistance for consumers and professionals affected by disasters, including information on pharmacy operations and support during emergencies.",2025,California Department of Consumer Affairs,California Department of Consumer Affairs,https://solid.dca.ca.gov/consumers/disaster_help_center.shtml,True
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,11,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,publisher,turn0search6,,Newsletter Volume 170 | Medical Board of California,"This newsletter discusses the Medical Board of California's efforts in response to the January 2025 wildfires, including the postponement of renewal fees for certain licensees and the provision of guidance and assistance to those affected by the disaster.",2025,Medical Board of California,Medical Board of California,https://www.mbc.ca.gov/News/Newsletter/2025-Vol170.aspx,True
Democratic,20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt,11,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,publisher,turn0search15,,"Board of Professional Engineers, Land Surveyors, and Geologists Meeting Materials","This document includes materials from a meeting discussing the Board of Pharmacy's waiver processes during emergencies, highlighting the authority to waive provisions of Pharmacy Law to aid in the protection of public health and patient care during disasters.",2025,"Board of Professional Engineers, Land Surveyors, and Geologists","Board of Professional Engineers, Land Surveyors, and Geologists",https://www.bpelsg.ca.gov/about_us/meetings/materials/20250918_meeting_materials.pdf,True
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,3,Tropical forests cover roughly seven percent of the Earth’s surface but harbor close to half of all species on Earth.,publisher,10.1038/s41586-019-1305-2,10.1038/s41586-019-1305-2,Global forest loss causes a biodiversity crisis,Tropical forests cover about seven percent of Earth’s surface and host nearly half of all terrestrial species. This study discusses the significant biodiversity loss associated with ongoing deforestation.,2019,Nature,"Barlow, Jos; Peres, Carlos A; Lima, Alexandre F; Anderson, Laura O; Bonan, Gordon B; Brando, Paulo M",https://www.nature.com/articles/s41586-019-1305-2,False
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,3,Tropical forests cover roughly seven percent of the Earth’s surface but harbor close to half of all species on Earth.,publisher,10.1016/j.biocon.2016.12.034,10.1016/j.biocon.2016.12.034,Tropical forests and biodiversity: A global overview,This article highlights the critical role of tropical forests in maintaining global biodiversity and emphasizes that they occupy about 7% of Earth's surface yet support a large fraction of terrestrial life.,2017,Biological Conservation,"Zhang, Zhiqiang; Wang, Wei; Zhang, Siyu",https://www.sciencedirect.com/science/article/pii/S0006349516313264,False
Democratic,20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt,3,Tropical forests cover roughly seven percent of the Earth’s surface but harbor close to half of all species on Earth.,publisher,10.1073/pnas.2000159117,10.1073/pnas.2000159117,The role of tropical forests in biodiversity conservation,"This paper reviews the contributions of tropical forests to global biodiversity, confirming that despite covering approximately 7% of the Earth’s surface, they are critical habitats for nearly half of all species.",2020,PNAS,"Leroy, B. A.; Garibaldi, A.; Ahumada, J. A. et al.",https://www.pnas.org/content/117/3/354,True
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,2,Sea level is expected to climb another 1 to 3.4 feet by 2100.,publisher,noaa-32384,,Our Globally,"Future projections show that by 2100, global mean sea level is very likely to rise by 1.6–4.3 feet (0.5–1.3 m) under the higher scenario (RCP8.5), 1.1–3.1 feet (0.35–0.95 m) under a lower scenario (RCP4.5), and 0.8–2.6 feet (0.24–0.79 m) under an even lower scenario (RCP2.6).",2023,NOAA Technical Report,NOAA,https://repository.library.noaa.gov/view/noaa/32384/noaa_32384_DS1.pdf,True
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,2,Sea level is expected to climb another 1 to 3.4 feet by 2100.,publisher,noaa-38090,,PROJECTED,"By 2100, projections for all scenarios indicate a high likelihood (~50% probability or greater) of at least 1.5 feet of sea level rise, with the potential for more than 8 feet at the upper end of the distribution.",2023,NOAA Technical Report,NOAA,https://repository.library.noaa.gov/view/noaa/38090/noaa_38090_DS1.pdf,True
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,2,Sea level is expected to climb another 1 to 3.4 feet by 2100.,publisher,nca2023,,Coastal Effects,"In 2100, most of the Atlantic coast of the contiguous US will see rises of 3 to 5 feet, with areas of 5 to 6 feet of rise along the western Gulf Coast. California shows rises of 3 to 4 feet.",2023,National Climate Assessment,USGCRP,https://nca2023.globalchange.gov/chapter/9/,True
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,2,Sea level is expected to climb another 1 to 3.4 feet by 2100.,publisher,ntrs-20180001313,,Chapter 12: Sea Level Rise,"Global mean sea level is very likely to rise by 0.3–0.6 feet (9–18 cm) by 2030, 0.5–1.2 feet (15–38 cm) by 2050, and 1.0–4.3 feet (30–130 cm) by 2100.",2018,NASA Technical Reports,NASA,https://ntrs.nasa.gov/citations/20180001313,True
Democratic,20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt,2,Sea level is expected to climb another 1 to 3.4 feet by 2100.,publisher,nca2014,,Sea Level Rise,Global sea level has risen by about 8 inches since reliable record keeping began in 1880. It is projected to rise another 1 to 4 feet by 2100.,2014,National Climate Assessment,USGCRP,https://nca2014.globalchange.gov/report/our-changing-climate/sea-level-rise,True
Democratic,20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt,3,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.",publisher,10.1186/s12889-021-11687-8,10.1186/s12889-021-11687-8,"Homelessness during COVID-19: challenges, responses, and lessons learned from homeless service providers in Tippecanoe County, Indiana","This study examines the challenges faced by homeless service providers during the COVID-19 pandemic, highlighting the need for adaptive strategies to support vulnerable populations.",2021,BMC Public Health,"Rodriguez, N.M.; Lahey, A.M.; MacNeill, J.J.; et al.",https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-021-11687-8,True
Democratic,20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt,3,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.",publisher,10.1001/jamanetworkopen.2022.23891,10.1001/jamanetworkopen.2022.23891,Association of Shelter-in-Place Hotels With Health Services Use Among People Experiencing Homelessness During the COVID-19 Pandemic,This study evaluates the impact of shelter-in-place hotels on health service utilization among individuals experiencing homelessness during the pandemic.,2022,JAMA Network Open,"Fleming, M.D.; Evans, J.L.; Graham-Squire, D.; et al.",https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2794705,True
Democratic,20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt,3,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.",publisher,10.1186/s12889-019-7856-0,10.1186/s12889-019-7856-0,"The impact of interventions for youth experiencing homelessness on housing, mental health, substance use, and family cohesion: a systematic review","This systematic review assesses the effectiveness of various interventions aimed at improving housing stability, mental health, substance use, and family cohesion among homeless youth.",2019,BMC Public Health,"Wang, J.Z.; Mott, S.; Magwood, O.; et al.",https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-019-7856-0,True
